ID,District,Type,x,y,Wheat_yield,Rice_harvest_date,Rice_yield,Rice_N_applied,Rice_P_applied,Rice_K_applied,Rice_Zn_applied,Rice_S_applied,Wheat_sowing_date,Wheat_seed__rate,Turn_around_time,Wheat_days_maturity,Wheat_N_applied,Wheat_P_applied,Wheat_K_applied,Wheat_S_applied,Wheat_Zn_applied,Wheat_B_applied,Soil_pH,Soil_OC,Soil_TN,Soil_P,Soil_K,Soil_S,Soil_B,Soil_Zn,Sand,Silt,Clay,t2m_80,mx2t_40,mx2t_90,tp_40,tp_60,tp_70,par_90,Irrigation_No,Plough_No,Weeding_No,Wheat_variety_ID,Rice_OM_applied_ID,Aman_residue_retained_ID,Wheat_Insecticide_ID,Seed_treatment_ID,Wheat_OM_applied_ID,Rice_variety_type_ID,Ground_cover_ID,Rice DOT,Rice DOH,Rice Early DOH,Wheat DOS,Wheat DOH,Otimum_Date
B24,Bhola,Cal,90.69452,22.51363,3948.5,38,3952,56.81,24.7,30.88,4.45,0,34,123.5,8,102,102.3,24.7,55.58,4.45,4.4,0,5.51,1.32,0.23,12.14,0.14,0,4.82,0.64,57.22,29.36,13.42,26.35699131,24.56938205,28.99129144,2.25E-07,0.255237973,1.340943773,764205.499,2,3,1,2,0,0,0,0,1,2,1,8/27/2014,12/2/2014,10/25/2014,12/10/2014,3/22/2015,11/30/2014
B27,Bhola,Cal,90.73915,22.52312,3623.4,45,6175,99.42,0,0,0,0,39,123.5,6,101,113.6,30.88,30.88,0,0,0,6.81,0.82,0.17,13.03,0.12,104,5.33,0.7,54.54,32,13.46,26.34951314,24.55035775,28.97023941,2.88E-06,0.259264056,1.297410016,764559.3019,2,3,2,2,0,0,0,1,0,1,1,8/14/2014,12/9/2014,10/25/2014,12/15/2014,3/26/2015,11/30/2014
B28,Bhola,Cal,90.73745,22.50863,4057.2,44,3705,81.66,30.88,46.31,0,0,40,154.4,8,102,106.5,23.16,38.59,0,2.8,0,6.96,0.76,0.15,16.5,0.18,75,4.95,1.28,57.04,33.1,9.86,26.36667901,24.47745184,28.90168034,9.41E-07,0.234492622,1.291553028,764953.6702,2,2,1,2,0,0,0,0,0,1,1,7/14/2014,12/8/2014,10/25/2014,12/16/2014,3/28/2015,11/30/2014
B29,Bhola,Cal,90.74348,22.49268,3158.8,21,3705,56.81,24.7,38.59,2.78,0,49,115.8,40,98,88.8,22.16,30.88,2.78,2.8,0,7.16,0.95,0.12,7,0.13,25,4.69,0.4,55.36,35,9.64,26.38483586,24.38666446,28.81729831,0.00E+00,0.205584741,1.276277134,765488.0447,2,3,2,4,0,0,1,0,1,2,2,8/5/2014,11/15/2014,10/25/2014,12/25/2014,4/2/2015,11/30/2014
B32,Bhola,Cal,90.7685,22.46833,3809.2,42,2470,9.47,2.47,5.15,0.74,0,39,133.8,9,101,85.2,16.47,20.58,1.85,0.7,0,6.05,1.07,0.17,13,0.15,84,3.87,2.04,55.22,33.82,10.96,26.41001414,24.22689319,28.67148579,0.00E+00,0.158959135,1.23558985,766523.0378,1,2,2,2,0,1,0,0,0,2,1,7/14/2014,12/6/2014,10/25/2014,12/15/2014,3/26/2015,11/30/2014
B34,Bhola,Cal,90.79345,22.46012,4180.8,24,5557.5,49.71,18.53,30.88,0,0,19,138.9,7,105,99.4,24.7,38.59,5.56,0,0,7.09,1.17,0.17,8,0.17,74,3.14,0.36,58.04,29.32,12.64,26.41618072,24.15418146,28.60489062,0.00E+00,0.141162049,1.206491647,767112.6858,2,3,2,2,0,0,0,0,0,2,1,8/3/2014,11/18/2014,10/25/2014,11/25/2014,3/10/2015,11/30/2014
B36,Bhola,Cal,90.68312,22.54155,3623.4,41,3528.6,40.58,0,0,0,0,37,132.3,8,102,64.9,17.64,22.05,0,0,0,7.23,0.8,0.23,6.25,0.13,26,2.1,0.52,54.8,36.24,8.96,26.3205137,24.7258641,29.14404222,2.67E-06,0.306969756,1.366155309,763271.5478,2,3,1,2,0,0,1,0,1,1,1,8/17/2014,12/5/2014,10/25/2014,12/13/2014,3/25/2015,11/30/2014
B37,Bhola,Cal,90.6767,22.526,3855.6,51,3293.3,30.3,6.59,0,0,0,46,123.5,7,100,45.4,8.23,12.35,0,0,0,6.15,1.12,0.23,11,0.16,52,3.01,0.28,56.54,30,13.46,26.33905043,24.66122336,29.08087043,9.85E-07,0.282356611,1.367511137,763613.2885,2,2,2,5,0,1,0,1,1,2,1,8/2/2014,12/15/2014,10/25/2014,12/22/2014,4/1/2015,11/30/2014
B38,Bhola,Cal,90.81705,22.44415,4165.1,23,4940,113.62,49.4,30.88,8.89,2.2,22,123.5,11,103,96.6,19.76,30.88,0,0,0,6.86,0.52,0.15,12.11,0.14,73,2.8,0.18,57.22,31.82,10.96,26.42798813,24.04654942,28.50858812,0.00E+00,0.112342136,1.173650299,767893.8471,2,2,2,4,1,0,1,0,1,1,1,7/16/2014,11/17/2014,10/25/2014,11/28/2014,3/11/2015,11/30/2014
B39,Bhola,Cal,90.81417,22.46352,3357.2,60,2470,71.01,61.75,30.88,11.12,0,54,123.5,6,92,85.2,22.23,46.31,3.33,2.2,0,6.14,0.86,0.15,7.2,0.13,44,2.92,0.22,56.04,28.82,15.14,26.41021069,24.15095998,28.59941866,0.00E+00,0.144337741,1.191401457,767314.1033,2,3,1,2,0,0,1,0,0,2,1,9/17/2014,12/24/2014,10/25/2014,12/30/2014,4/1/2015,11/30/2014
B40,Bhola,Cal,90.82863,22.44707,3437.6,46,2470,71.01,12.35,15.44,0,2.2,46,123.5,12,99,90.9,22.23,46.31,0,0,0,5.65,0.85,0.32,10.5,0.14,48,3.18,0.2,66.22,22.82,10.96,26.42343101,24.05075011,28.51035771,0.00E+00,0.116004396,1.166678205,767982.2443,2,3,1,3,0,0,0,1,0,2,1,9/16/2014,12/10/2014,10/25/2014,12/22/2014,3/31/2015,11/30/2014
B41,Bhola,Cal,90.84262,22.43757,3716.3,44,4940,56.81,20.58,0,0,0,41,128.6,9,101,94.7,20.58,38.59,0,0,0,6.32,0.82,0.16,16.32,0.13,45,2.45,0.3,58.2,27.68,14.12,26.42900294,23.99007514,28.45595578,0.00E+00,0.10018948,1.147866533,768444.1894,2,3,2,2,0,0,1,0,0,1,1,8/8/2014,12/8/2014,10/25/2014,12/17/2014,3/28/2015,11/30/2014
B42,Bhola,Cal,90.82355,22.43568,3711.2,53,3705,94.68,41.17,0,0,0,58,102.9,17,92,123.1,20.58,30.88,0,0,0,6.2,0.93,0.06,39,0.13,58,2.97,0.4,56.86,34,9.14,26.43439053,23.99681495,28.46508276,0.00E+00,0.098287728,1.161312858,768218.2476,2,3,2,3,1,0,0,0,0,2,1,9/5/2014,12/17/2014,10/25/2014,1/3/2015,4/5/2015,11/30/2014
B45,Bhola,Cal,90.82693,22.39817,3169.5,51,3705,42.61,10.29,30.88,0,0,45,133.8,6,102,94.7,20.58,25.73,0,0,0,5.74,0.92,0.12,11,0.16,85,2.97,0.23,54.86,32.82,12.32,26.46384343,23.80850223,28.30717119,0.00E+00,0.040913684,1.126274869,769237.2747,1,3,1,2,1,0,1,0,0,2,2,8/18/2014,12/15/2014,10/25/2014,12/21/2014,4/2/2015,11/30/2014
B46,Bhola,Cal,90.80115,22.3559,4655,5,6175,28.41,30.88,36.02,14.82,1.4,9,133.8,16,123,85.2,20.58,36.02,3.71,0,0,7.19,0.62,0.06,16.2,0.17,36,3.27,0.16,56.86,30.82,12.32,26.49606292,23.65405046,28.18841154,3.70E-06,0,1.115315968,769787.4312,2,3,2,2,0,0,0,0,1,1,1,6/29/2014,10/30/2014,10/25/2014,11/15/2014,3/18/2015,11/30/2014
B48,Bhola,Cal,90.789,22.34603,4514.2,16,5668.9,74.5,36.44,20.25,2.92,0.7,16,141.7,12,103,121.1,24.3,52.64,7.29,0,0,5.44,1.16,0.17,16,0.17,167,3.27,0.72,57.86,32.5,9.64,26.50333051,23.63313962,28.17496379,5.08E-06,0,1.120477472,769782.0917,3,3,2,2,0,1,0,0,0,2,1,8/1/2014,11/10/2014,10/25/2014,11/22/2014,3/5/2015,11/30/2014
B49,Bhola,Cal,90.77367,22.34532,4655,21,5928,45.45,30.88,37.05,4.45,0,23,123.5,14,104,56.8,14.82,24.7,0,0,0,7.52,0.74,0.14,11.5,0.17,65,2.88,0.2,55.72,34.14,10.14,26.50526796,23.6559741,28.19668843,5.30E-06,0,1.137186318,769524.1835,2,3,2,2,0,0,1,0,1,1,1,6/29/2014,11/15/2014,10/25/2014,11/29/2014,3/13/2015,11/30/2014
B51,Bhola,Cal,90.74532,22.37323,3841.9,39,4940,66.28,16.47,34.31,9.88,0.6,39,137.2,12,101,116.8,24.7,34.31,3.71,0,0,6.5,1.02,0.09,15,0.14,148,3.22,0.4,56.72,35.14,8.14,26.48940395,23.81921188,28.3319096,3.60E-07,0.019098369,1.191171135,768447.0231,2,3,2,2,0,0,0,0,0,2,1,8/8/2014,12/3/2014,10/25/2014,12/15/2014,3/26/2015,11/30/2014
B53,Bhola,Cal,90.73067,22.17857,3809.2,42,3705,85.22,30.88,61.75,3.71,0,39,144.1,9,102,123.1,24.7,51.46,0,0,0,7.01,0.69,0.12,8.1,0.12,108,2.97,0.64,56.22,34,9.78,26.56584729,23.3539368,27.96693594,0.00E+00,0,1.112220862,771094.9076,2,3,1,2,0,0,0,1,0,1,1,8/17/2014,12/6/2014,10/25/2014,12/15/2014,3/27/2015,11/30/2014
B58,Bhola,Cal,90.74272,22.21873,3432.6,37,2744.4,63.12,27.44,6.86,0,0,35,137.2,10,103,101,27.44,48.03,4.94,4.9,0,5.77,0.9,0.17,15,0.12,58,3.01,0.28,58.22,30.82,10.96,26.55678894,23.37499919,27.98689373,0.00E+00,0,1.104824339,770919.4354,2,4,1,4,0,0,1,1,0,1,1,8/19/2014,12/1/2014,10/25/2014,12/11/2014,3/24/2015,11/30/2014
B60,Bhola,Cal,90.76892,22.20992,3677.8,51,3705,28.41,30.88,46.31,2.78,0,48,123.5,9,102,85.2,24.7,38.59,2.78,0,0,6.25,0.77,0.15,10,0.17,115,3.05,0.26,55.22,30.82,13.96,26.55521166,23.30313643,27.92044516,0.00E+00,0,1.065143648,771570.9593,2,4,1,3,0,0,1,1,0,2,1,8/22/2014,12/15/2014,10/25/2014,12/24/2014,4/5/2015,11/30/2014
F01,Faridpur,Cal,89.73357,23.65017,2591.6,26,1482,56.81,19.76,30.88,4.45,0,44,123.5,30,71,88.2,18.7,61.75,11.12,0,0,6.42,0.78,0.12,12.53,0.22,16,0.69,0.76,69.64,16,14.36,24.7273126,25.17765913,30.51337355,0.00E+00,0.91280854,0.676684819,738116.5535,1,3,0,1,0,1,0,0,1,1,2,7/25/2014,11/20/2014,10/25/2014,12/20/2014,3/1/2015,11/30/2014
F05,Faridpur,Cal,89.72255,23.52095,4956.4,23,3087.5,106.52,15.44,19.3,0,6.9,19,123.5,8,112,85.22,22.35,30.88,5.56,0,0,6.86,0.83,0.15,12.36,0.22,14,2.02,0.46,63.34,23.66,13,24.82188765,25.31469683,30.65949999,0.00E+00,0.819738436,0.677770017,739935.0238,3,3,2,1,0,1,0,0,0,1,1,7/27/2014,11/17/2014,10/25/2014,11/25/2014,3/17/2015,11/30/2014
F06,Faridpur,Cal,89.72185,23.51128,4070,11,3293.3,170.43,24.7,61.75,0,29.6,4,115.3,5,119,94.68,24.7,61.75,14.82,0,0,6.65,0.81,0.15,6.76,0.18,11,0.73,0.31,72,11,17,24.83065806,25.32595443,30.66850345,0.00E+00,0.814283964,0.681685078,740061.3365,3,3,1,1,0,1,0,0,0,1,1,7/29/2014,11/5/2014,10/25/2014,11/10/2014,3/9/2015,11/30/2014
F10,Faridpur,Cal,89.6849,23.48307,3931.4,19,4391.1,63.12,21.96,41.17,4.94,0,14,137.2,7,103,107.31,27.44,68.61,24.7,7.82,0,7.23,0.98,0.12,29.39,0.22,15,1.08,0.74,57.86,21.18,20.96,24.85448317,25.35250968,30.69891478,0.00E+00,0.788952952,0.691799966,740167.2948,3,3,1,1,0,1,0,0,0,1,1,7/25/2014,11/13/2014,10/25/2014,11/20/2014,3/3/2015,11/30/2014
F11,Faridpur,Cal,89.67697,23.47618,3470.5,12,1646.7,47.34,24.7,30.88,1.85,1.9,12,123.5,12,108,118.35,30.88,61.75,18.53,0,0,6.48,1.17,0.15,11.27,0.21,18,1.2,0.8,61,25.18,13.82,24.86114787,25.35966224,30.70571247,3.03E-08,0.783683686,0.695340995,740194.8603,3,3,1,1,0,1,0,0,0,1,1,8/4/2014,11/6/2014,10/25/2014,11/18/2014,3/6/2015,11/30/2014
F12,Faridpur,Cal,89.67592,23.36453,3329.2,7,3969.6,81.16,52.93,66.16,3.18,15.9,4,132.3,9,115,101.45,17.64,44.11,12.7,0,0,6.74,1.16,0.17,14.36,0.22,28,1.25,0.36,64.18,22.07,13.75,24.99185611,25.51210191,30.78287271,2.15E-07,0.754106377,0.810968162,741546.9552,3,3,1,3,0,1,0,0,0,1,2,7/13/2014,11/1/2014,10/25/2014,11/10/2014,3/5/2015,11/30/2014
F13,Faridpur,Cal,89.6672,23.45955,2650.2,21,5301.5,83.14,48.2,45.18,4.34,5.4,14,120.5,5,101,110.85,18.07,30.12,10.84,3.69,0,7.04,1.01,0.15,20.62,0.21,47,1.33,0.38,67.5,23.5,9,24.8784663,25.37920546,30.72018248,1.79E-07,0.774581045,0.706369775,740327.434,1,2,0,1,0,1,0,0,0,1,2,7/8/2014,11/15/2014,10/25/2014,11/20/2014,3/1/2015,11/30/2014
F14,Faridpur,Cal,89.66807,23.4494,3211.7,13,3293.3,142.03,28.82,41.17,7.41,11.1,8,102.9,7,112,104.15,24.7,61.75,18.53,0,0,6.95,0.89,0.12,14.7,0.22,9,1.16,0.57,68.36,20.64,11,24.88957154,25.39261036,30.72772136,2.34E-07,0.77144364,0.714764354,740460.3229,2,3,1,1,0,1,0,0,0,1,2,8/9/2014,11/7/2014,10/25/2014,11/14/2014,3/6/2015,11/30/2014
F16,Faridpur,Cal,89.67077,23.49135,3588.2,28,2470,113.62,28.82,51.46,0,0,22,102.9,6,104,129.37,41.17,102.92,18.53,0,0,6.43,0.76,0.12,14.78,0.19,10,0.99,0.61,62.36,29.5,8.14,24.84566453,25.33961935,30.69402244,0.00E+00,0.787878747,0.68525782,739953.5031,3,3,2,1,0,1,0,0,0,1,1,7/30/2014,11/22/2014,10/25/2014,11/28/2014,3/12/2015,11/30/2014
F17,Faridpur,Cal,89.66952,23.501,4055.2,23,2470,71.01,30.88,77.19,0,0,19,92.6,8,104,85.22,18.53,46.31,5.56,0,0,6.17,0.77,0.12,15.53,0.22,8,0.9,0.7,66,24,10,24.83620265,25.32755882,30.68590154,0.00E+00,0.791599616,0.679895309,739819.9323,3,3,1,1,0,1,0,0,0,2,1,7/28/2014,11/17/2014,10/25/2014,11/25/2014,3/9/2015,11/30/2014
F18,Faridpur,Cal,89.66032,23.51243,3791,23,1829.6,84.16,0,0,0,0,22,173.8,11,104,126.24,36.59,91.48,16.47,0,0,5.96,1.09,0.17,18.62,0.22,16,0.6,0.53,67.36,20,12.64,24.82526794,25.31210946,30.67699184,0.00E+00,0.793459667,0.673513504,739602.1209,3,3,1,2,0,1,0,0,0,1,1,7/20/2014,11/17/2014,10/25/2014,11/28/2014,3/12/2015,11/30/2014
F20,Faridpur,Cal,89.6644,23.53613,3637,31,6057.1,27.05,7.06,23.52,0,0,27,141.1,8,105,108.21,23.52,58.81,21.17,0,0,5.87,1.45,0.15,6.26,0.23,15,0.65,0.72,56.68,21.5,21.82,24.80399613,25.28494496,30.65429614,0.00E+00,0.806259609,0.665359495,739322.3691,3,3,1,1,0,1,0,0,0,2,1,7/27/2014,11/25/2014,10/25/2014,12/3/2014,3/18/2015,11/30/2014
F22,Faridpur,Cal,89.6928,23.52988,3744.2,23,5269.3,94.68,32.93,41.17,5.93,0,18,115.3,7,100,113.62,32.93,82.33,7.41,0,0,6.2,1.01,0.16,18.62,0.21,14,1.63,0.42,66.86,22.5,10.64,24.81069789,25.29772294,30.65610846,0.00E+00,0.813811976,0.670487322,739610.0252,3,3,1,1,0,1,0,0,0,2,1,7/26/2014,11/17/2014,10/25/2014,11/24/2014,3/4/2015,11/30/2014
F23,Faridpur,Cal,89.70555,23.5362,3827.9,33,4595.3,52.85,34.47,28.72,4.14,31,27,126.4,6,102,105.69,22.98,57.44,10.34,0,0,6.98,1.04,0.12,15.03,0.21,35,1.12,0.48,62.18,23.18,14.64,24.8063248,25.29313167,30.64791993,0.00E+00,0.822018164,0.670193157,739612.5352,3,3,1,1,0,1,0,0,0,2,1,8/15/2014,11/27/2014,10/25/2014,12/3/2014,3/15/2015,11/30/2014
F24,Faridpur,Cal,89.8009,23.57675,4257.7,19,3800,87.4,22.8,57,0,0,14,133,7,106,113.62,19,47.5,8.55,3.42,0.666,6.15,1.15,0.15,11.94,0.2,9,0.82,0.91,59.86,27.32,12.82,24.79190256,25.27304421,30.58609907,2.40E-07,0.886980155,0.679570568,739587.6516,3,3,1,1,0,1,0,0,0,1,1,7/25/2014,11/13/2014,10/25/2014,11/20/2014,3/6/2015,11/30/2014
F26,Faridpur,Cal,89.79647,23.55075,4476.3,19,3528.6,81.16,35.29,44.11,3.18,15.9,14,123.5,7,103,121.74,35.29,44.11,15.88,3.18,0.53,6.45,1.21,0.12,27.62,0.17,42,0.95,0.99,68.18,19,12.82,24.81136932,25.30033341,30.61518734,1.86E-07,0.865371326,0.682427208,739956.1061,3,3,2,1,0,1,0,0,0,1,1,8/12/2014,11/13/2014,10/25/2014,11/20/2014,3/3/2015,11/30/2014
F27,Faridpur,Cal,89.79875,23.54112,4495.9,22,2822.9,32.46,21.17,35.29,0,0,16,105.9,6,107,97.39,14.11,17.64,0,0,0,6.17,1.03,0.09,11.44,0.19,9,1.46,1.33,67,17.68,15.32,24.82002282,25.31184905,30.62452643,1.78E-07,0.859240739,0.685323768,740110.0474,3,3,2,1,0,1,0,0,1,1,1,8/20/2014,11/16/2014,10/25/2014,11/22/2014,3/9/2015,11/30/2014
F28,Faridpur,Cal,89.80035,23.53242,4225.6,24,3952,85.22,19.76,24.7,4.45,44.5,18,123.5,6,103,113.62,24.7,30.88,11.12,0,0,6.82,1.02,0.15,17.54,0.22,11,1.38,0.42,59,28,13,24.82789783,25.32221457,30.63282529,1.69E-07,0.853664574,0.688293047,740245.7432,3,3,1,1,0,1,0,0,0,1,1,8/10/2014,11/18/2014,10/25/2014,11/24/2014,3/7/2015,11/30/2014
F29,Faridpur,Cal,89.80745,23.52012,4289.8,16,4800,11.96,52,130,0,46.8,11,130,7,108,119.6,20.8,52,4.68,0,0,6.92,1.02,0.15,29.81,0.21,40,1.42,0.58,61,28.32,10.68,24.84067304,25.33852238,30.64304564,1.59E-07,0.847576935,0.694454808,740462.2031,3,3,1,1,0,1,0,0,0,1,1,8/8/2014,11/10/2014,10/25/2014,11/17/2014,3/5/2015,11/30/2014
