yearbuilt,finsqft,cooling,bedroom,fullbath,halfbath,lotsize,totalvalue,esdistrict,msdistrict,hsdistrict,censustract,age,condition,fp
1754,1150,No Central Air,1,0,0,44.263,208100,Brownsville,Henley,Western Albemarle,112.01,265,Poor,0
1754,1037,No Central Air,4,1,0,5,112200,Scottsville,Walton,Monticello,113.01,265,Fair,0
1973,816,Central Air,2,1,1,1.015,140400,Stone-Robinson,Walton,Monticello,113.01,46,Fair,1
1964,1540,No Central Air,4,2,0,0.374,127100,Broadus Wood,Jouett,Albemarle,101,55,Fair,0
1990,1200,Central Air,3,2,0,10,273300,Stone-Robinson,Burley,Monticello,104.02,29,Fair,0
1951,1120,Central Air,2,1,0,1.7,73100,Red Hill,Walton,Monticello,114,68,Fair,0
1977,1056,No Central Air,5,2,0,0.2079,179700,Baker-Butler,Sutherland,Albemarle,102.01,42,Fair,0
1980,1224,Central Air,3,1,1,0.165,167400,Woodbrook,Jouett,Albemarle,107,39,Fair,1
1981,1008,Central Air,3,2,0,0.11,116300,Murray,Henley,Western Albemarle,110,38,Fair,0
1754,743,No Central Air,1,1,0,0.46,112300,Crozet,Henley,Western Albemarle,111,265,Fair,1
1950,1040,No Central Air,2,1,0,20.019,290000,Stony Point,Sutherland,Albemarle,104.01,69,Fair,0
1944,1708,Central Air,3,2,0,0.763,202700,Murray,Henley,Western Albemarle,110,75,Fair,0
1955,1276,No Central Air,3,2,0,1,94500,Red Hill,Walton,Monticello,112.02,64,Fair,0
1796,4242,Central Air,4,3,1,2.1,852600,Crozet,Henley,Western Albemarle,101,223,Fair,1
1754,1999,Central Air,5,2,0,4.13,153100,Brownsville,Henley,Western Albemarle,112.01,265,Fair,0
1890,1590,No Central Air,4,1,1,0.661,90700,Red Hill,Walton,Monticello,112.02,129,Fair,0
1940,962,No Central Air,3,1,0,0.16,73800,Red Hill,Walton,Monticello,112.02,79,Fair,0
1956,3382,Central Air,4,4,0,1.96,870100,Murray,Henley,Western Albemarle,110,63,Fair,1
1981,1008,Central Air,3,2,0,0.196,117300,Murray,Henley,Western Albemarle,110,38,Fair,0
1966,1680,Central Air,3,3,0,1.69,326300,Crozet,Henley,Western Albemarle,111,53,Fair,1
1825,3422,No Central Air,4,2,0,145.81,613300,Red Hill,Walton,Monticello,112.02,194,Fair,1
1965,864,No Central Air,3,1,0,0.513,66600,Cale,Walton,Monticello,113.03,54,Fair,0
1975,960,No Central Air,3,1,0,2,134700,Stone-Robinson,Walton,Monticello,113.01,44,Fair,0
1965,2529,Central Air,3,3,0,12,428300,Stone-Robinson,Burley,Monticello,104.01,54,Fair,1
1960,1219,Central Air,3,1,1,1.418,136000,Red Hill,Walton,Monticello,112.02,59,Fair,1
1930,1603,No Central Air,5,1,0,2.274,70900,Scottsville,Walton,Monticello,114,89,Fair,1
1985,2464,Central Air,4,2,2,1.644,456500,Meriwether Lewis,Henley,Western Albemarle,110,34,Fair,1
1986,1266,Central Air,3,2,0,3.233,226700,Baker-Butler,Sutherland,Albemarle,102.01,33,Fair,1
1975,960,No Central Air,3,1,0,0,132500,Brownsville,Henley,Western Albemarle,112.01,44,Fair,0
1977,1536,Central Air,3,1,0,2,149300,Brownsville,Henley,Western Albemarle,112.01,42,Fair,1
1754,1064,No Central Air,2,1,0,6,138700,Baker-Butler,Sutherland,Albemarle,102.01,265,Fair,0
1940,1585,No Central Air,3,1,0,2.09,176800,Red Hill,Walton,Monticello,114,79,Fair,1
1963,1456,Central Air,3,2,0,1.506,172600,Stony Point,Sutherland,Albemarle,104.01,56,Fair,0
1959,862,No Central Air,2,1,0,1.5,66200,Red Hill,Walton,Monticello,112.01,60,Fair,0
1978,1233,No Central Air,3,1,1,1.467,207600,Brownsville,Henley,Western Albemarle,112.01,41,Fair,1
1754,736,No Central Air,2,1,0,2.278,142300,Brownsville,Henley,Western Albemarle,111,265,Fair,0
1957,1637,Central Air,4,1,0,0.61,187400,Crozet,Henley,Western Albemarle,111,62,Fair,0
1936,5218,Central Air,5,5,0,2.3,3206100,Murray,Henley,Western Albemarle,110,83,Fair,1
1900,2471,No Central Air,4,2,0,2,157100,Red Hill,Walton,Monticello,112.02,119,Fair,0
1972,912,No Central Air,3,1,0,2.3,93700,Red Hill,Walton,Monticello,114,47,Fair,0
1986,1692,Central Air,3,2,0,0.248,226200,Woodbrook,Jouett,Albemarle,107,33,Fair,1
1976,1056,Central Air,3,2,1,0.998,172200,Stone-Robinson,Burley,Monticello,104.02,43,Fair,0
1948,1000,No Central Air,4,2,0,1,162100,Cale,Walton,Monticello,113.01,71,Fair,0
1920,899,No Central Air,2,1,0,15.02,245200,Broadus Wood,Jouett,Albemarle,101,99,Fair,0
1930,1336,No Central Air,4,1,0,3.067,209100,Murray,Henley,Western Albemarle,110,89,Fair,0
1973,1119,Central Air,4,2,0,2.25,241700,Baker-Butler,Sutherland,Albemarle,103,46,Fair,1
1952,640,Central Air,1,1,0,0.51,79800,Crozet,Henley,Western Albemarle,111,67,Fair,0
1967,2166,Central Air,3,2,0,0,336700,Broadus Wood,Jouett,Albemarle,102.02,52,Fair,1
1920,1320,No Central Air,2,1,0,2,156600,Stony Point,Sutherland,Albemarle,104.01,99,Fair,1
1875,2085,No Central Air,4,2,0,7.44,224800,Broadus Wood,Jouett,Albemarle,102.01,144,Fair,1
1992,3203,Central Air,4,4,0,9.78,683900,Crozet,Henley,Western Albemarle,111,27,Fair,1
1970,2510,Central Air,4,2,1,4.44,558300,Meriwether Lewis,Henley,Western Albemarle,102.02,49,Fair,1
1975,1387,Central Air,2,2,0,2.03,222500,Brownsville,Henley,Western Albemarle,112.01,44,Fair,1
1930,1837,No Central Air,3,2,0,23,115300,Red Hill,Walton,Monticello,112.01,89,Fair,1
1930,1176,No Central Air,2,1,0,5.35,224500,Meriwether Lewis,Henley,Western Albemarle,102.02,89,Fair,0
1974,960,No Central Air,3,1,0,2.33,121500,Scottsville,Walton,Monticello,114,45,Fair,0
1990,1319,Central Air,2,2,0,0,193200,Woodbrook,Jouett,Albemarle,106.01,29,Fair,0
1754,1080,No Central Air,2,1,0,0.77,118400,Brownsville,Henley,Western Albemarle,112.01,265,Fair,0
1971,1917,Central Air,3,2,0,0,292200,Baker-Butler,Sutherland,Albemarle,103,48,Fair,1
1973,1428,Central Air,3,1,1,0,153000,Agnor-Hurt,Burley,Albemarle,107,46,Fair,0
1971,1215,No Central Air,3,2,0,0.54,177300,Baker-Butler,Sutherland,Albemarle,103,48,Fair,1
1979,1619,Central Air,2,2,0,13.018,199100,Crozet,Henley,Western Albemarle,101,40,Fair,1
1985,1674,Central Air,3,2,0,5.79,260900,Broadus Wood,Jouett,Albemarle,102.01,34,Fair,1
1947,1745,Central Air,3,3,0,2.024,271400,Crozet,Henley,Western Albemarle,111,72,Fair,1
1976,2185,Central Air,4,2,0,2.47,341000,Broadus Wood,Jouett,Albemarle,102.02,43,Fair,1
1967,1254,Central Air,4,3,0,0.6137,273000,Woodbrook,Jouett,Albemarle,106.01,52,Fair,1
2002,2492,Central Air,3,2,1,6.009,251500,Scottsville,Walton,Monticello,114,17,Fair,0
1950,1428,Central Air,3,1,0,6.74,266600,Stone-Robinson,Burley,Monticello,104.01,69,Fair,0
1938,1132,No Central Air,3,1,0,25.75,159600,Stony Point,Sutherland,Albemarle,104.01,81,Fair,0
1965,900,No Central Air,2,1,0,2.57,135800,Baker-Butler,Sutherland,Albemarle,102.01,54,Fair,0
1932,1296,Central Air,3,1,0,6,175100,Red Hill,Walton,Monticello,112.02,87,Fair,0
1946,2090,No Central Air,4,3,1,8.41,287400,Meriwether Lewis,Henley,Western Albemarle,102.02,73,Fair,1
1995,2083,Central Air,3,2,0,3.47,262100,Broadus Wood,Jouett,Albemarle,102.01,24,Fair,1
1981,1728,Central Air,4,2,0,5.2,168000,Stone-Robinson,Walton,Monticello,113.01,38,Fair,0
1977,2139,Central Air,3,1,1,23.01,323800,Red Hill,Walton,Monticello,112.02,42,Fair,1
1959,1288,Central Air,3,2,0,2,159700,Scottsville,Walton,Monticello,114,60,Fair,1
1976,960,Central Air,3,1,0,2,135200,Scottsville,Walton,Monticello,113.01,43,Fair,0
1978,960,Central Air,3,2,0,2.005,124200,Broadus Wood,Jouett,Albemarle,101,41,Fair,0
1973,1032,Central Air,3,1,1,3.01,165000,Stony Point,Sutherland,Albemarle,104.01,46,Fair,1
1966,2667,No Central Air,3,2,1,0.665,206500,Baker-Butler,Sutherland,Albemarle,103,53,Fair,1
1978,1411,No Central Air,4,1,0,1,108900,Baker-Butler,Sutherland,Albemarle,103,41,Fair,1
1980,1200,Central Air,3,2,1,0.122,166000,Cale,Burley,Monticello,113.03,39,Fair,0
1970,1407,Central Air,5,2,0,0.309,315600,Greer,Jouett,Albemarle,108,49,Fair,1
1969,1968,Central Air,4,2,1,0.5627,306900,Woodbrook,Jouett,Albemarle,106.01,50,Fair,1
1961,1483,No Central Air,3,1,0,3.758,179700,Stone-Robinson,Burley,Monticello,104.02,58,Fair,1
1980,1151,No Central Air,4,1,1,2.124,186800,Stone-Robinson,Burley,Monticello,104.01,39,Fair,0
1968,1444,No Central Air,4,2,0,3.632,127500,Scottsville,Walton,Monticello,114,51,Fair,1
1978,2201,Central Air,2,2,1,5.36,547700,Murray,Henley,Western Albemarle,110,41,Fair,1
1953,1554,No Central Air,4,1,0,2,248400,Meriwether Lewis,Henley,Western Albemarle,110,66,Fair,0
1986,1066,Central Air,2,2,1,0,516700,Murray,Henley,Western Albemarle,110,33,Fair,1
1920,1240,No Central Air,3,1,0,1.277,69000,Red Hill,Walton,Monticello,114,99,Fair,0
1977,1243,Central Air,3,2,0,0.2334,260100,Agnor-Hurt,Burley,Albemarle,106.02,42,Fair,1
1974,960,No Central Air,3,1,0,0,155000,Brownsville,Henley,Western Albemarle,112.01,45,Fair,0
1971,1008,Central Air,3,1,1,2.94,113900,Red Hill,Walton,Monticello,113.01,48,Fair,0
1940,1504,No Central Air,2,1,0,2.952,219200,Stony Point,Burley,Monticello,105,79,Fair,0
1967,2760,Central Air,4,3,0,0,485300,Greer,Jouett,Albemarle,108,52,Fair,1
2009,1344,Central Air,3,2,0,3.28,244800,Baker-Butler,Sutherland,Albemarle,103,10,Fair,0
1963,1258,No Central Air,3,1,1,3.01,274500,Baker-Butler,Sutherland,Albemarle,103,56,Fair,1
1966,1120,Central Air,3,1,0,2.48,188400,Baker-Butler,Sutherland,Albemarle,104.01,53,Fair,0
1940,900,Central Air,2,1,0,0.36,80600,Red Hill,Walton,Monticello,112.02,79,Fair,0
1900,3066,Central Air,5,2,0,4.94,269700,Crozet,Henley,Western Albemarle,101,119,Fair,1
1968,1848,Central Air,3,2,0,10,358500,Baker-Butler,Sutherland,Albemarle,102.01,51,Fair,1
1972,1200,No Central Air,3,3,0,4.01,168500,Red Hill,Walton,Monticello,113.01,47,Fair,0
1930,812,No Central Air,3,1,0,1.35,108600,Scottsville,Walton,Monticello,114,89,Fair,0
1971,1056,No Central Air,3,1,1,4,193500,Baker-Butler,Sutherland,Albemarle,103,48,Fair,1
1899,2446,No Central Air,5,1,0,2,163300,Red Hill,Walton,Monticello,114,120,Fair,0
2005,1720,Central Air,3,3,0,2,271900,Brownsville,Henley,Western Albemarle,111,14,Fair,1
1962,1008,No Central Air,3,1,0,2.152,90100,Brownsville,Henley,Western Albemarle,112.01,57,Fair,0
1952,864,No Central Air,2,1,0,1,152000,Meriwether Lewis,Henley,Western Albemarle,102.02,67,Fair,1
1900,1488,No Central Air,3,1,1,4.75,98300,Stone-Robinson,Burley,Monticello,104.01,119,Fair,0
1974,1960,Central Air,3,2,0,9.049,295700,Baker-Butler,Sutherland,Albemarle,102.01,45,Fair,1
1988,2790,Central Air,4,3,2,2.83,619600,Meriwether Lewis,Henley,Western Albemarle,110,31,Fair,1
1975,1008,No Central Air,3,1,0,1.0758,183500,Stone-Robinson,Burley,Monticello,104.02,44,Fair,1
1972,960,No Central Air,5,1,0,0.84,95600,Red Hill,Walton,Monticello,112.02,47,Fair,0
1961,1230,No Central Air,3,1,1,41.65,774400,Stony Point,Sutherland,Albemarle,104.01,58,Fair,0
1975,2196,Central Air,4,2,2,0.387,311600,Woodbrook,Jouett,Albemarle,106.01,44,Fair,1
1932,1578,No Central Air,3,1,0,2.003,149300,Red Hill,Walton,Monticello,112.02,87,Fair,0
1800,1648,Central Air,3,1,0,0.242,124800,Scottsville,Walton,Monticello,114,219,Fair,1
1754,1344,Central Air,3,1,0,1,57500,Scottsville,Walton,Monticello,114,265,Fair,0
1975,2050,No Central Air,4,2,1,2.06,185700,Stone-Robinson,Burley,Monticello,104.01,44,Fair,1
1754,680,No Central Air,2,1,0,0.16,54700,Cale,Walton,Monticello,104.02,265,Fair,0
1950,2267,Central Air,5,2,0,0.59,250500,Cale,Walton,Monticello,113.01,69,Fair,0
1989,2236,Central Air,4,2,1,0.282,366600,Baker-Butler,Sutherland,Albemarle,103,30,Fair,1
1957,1008,No Central Air,2,1,0,2.611,272000,Cale,Burley,Monticello,113.02,62,Fair,1
1985,1032,No Central Air,1,1,0,3.589,132800,Stone-Robinson,Walton,Monticello,113.01,34,Fair,0
1941,1675,No Central Air,2,1,1,25,320000,Scottsville,Walton,Monticello,113.01,78,Fair,1
1958,883,No Central Air,0,1,0,5.005,106100,Stony Point,Sutherland,Albemarle,104.01,61,Fair,1
1754,704,No Central Air,1,1,0,0.276,198000,Crozet,Henley,Western Albemarle,111,265,Fair,0
1943,1273,No Central Air,2,1,0,8.38,391100,Meriwether Lewis,Henley,Western Albemarle,110,76,Fair,0
1920,1086,No Central Air,3,1,0,3.5,96900,Red Hill,Walton,Monticello,112.02,99,Fair,0
1959,3230,Central Air,3,2,2,3.653,519000,Stone-Robinson,Burley,Monticello,104.02,60,Fair,1
1968,1232,No Central Air,2,1,1,0.795,255700,Meriwether Lewis,Henley,Western Albemarle,110,51,Fair,1
1975,1104,No Central Air,3,1,1,3.145,144600,Stone-Robinson,Burley,Monticello,104.01,44,Fair,0
1976,1512,Central Air,3,2,1,2.752,270200,Broadus Wood,Jouett,Albemarle,102.02,43,Fair,1
2010,2146,Central Air,3,2,1,0.06,348500,Agnor-Hurt,Burley,Albemarle,106.02,9,Average,1
1956,1106,Central Air,3,1,0,0,234000,Crozet,Henley,Western Albemarle,111,63,Average,1
1986,1640,Central Air,3,3,0,21,293800,Stone-Robinson,Walton,Monticello,113.01,33,Average,0
1973,1425,Central Air,3,2,0,9.59,309400,Broadus Wood,Jouett,Albemarle,101,46,Average,1
2003,1352,Central Air,3,2,0,0.437,311000,Agnor-Hurt,Burley,Albemarle,106.02,16,Average,1
1999,2478,Central Air,3,2,1,0.339,430100,Hollymead,Sutherland,Albemarle,103,20,Average,1
2008,4601,Central Air,4,4,1,0.519,1115300,Brownsville,Henley,Western Albemarle,111,11,Average,1
2003,1602,Central Air,3,3,1,0.078,231400,Baker-Butler,Sutherland,Albemarle,102.01,16,Average,1
2011,1606,Central Air,3,3,0,0.058,254000,Greer,Jouett,Albemarle,108,8,Average,0
2007,1771,Central Air,3,2,1,0.099,280200,Baker-Butler,Sutherland,Albemarle,103,12,Average,1
2001,4324,Central Air,4,5,1,5.847,1784900,Murray,Henley,Western Albemarle,110,18,Average,1
2002,3045,Central Air,4,4,1,0.838,578300,Stone-Robinson,Burley,Monticello,104.02,17,Average,1
1992,2864,Central Air,3,2,1,40.004,934400,Meriwether Lewis,Henley,Western Albemarle,102.02,27,Average,1
2007,2056,Central Air,3,2,1,0.171,321200,Crozet,Henley,Western Albemarle,111,12,Average,1
2018,1835,Central Air,3,4,1,0.024,375700,Woodbrook,Jouett,Albemarle,107,1,Average,0
2005,3268,Central Air,2,2,1,8.688,404000,Red Hill,Walton,Monticello,114,14,Average,0
2001,1925,Central Air,2,2,0,0.243,419700,Agnor-Hurt,Burley,Albemarle,106.02,18,Average,1
1975,1288,Central Air,3,3,0,3,292800,Stone-Robinson,Burley,Monticello,104.02,44,Average,1
1994,1961,Central Air,4,3,1,0.263,364400,Woodbrook,Jouett,Albemarle,106.01,25,Average,1
2006,2336,Central Air,3,2,1,0.192,485000,Brownsville,Henley,Western Albemarle,111,13,Average,1
1967,2390,Central Air,5,3,1,2.17,643800,Meriwether Lewis,Henley,Western Albemarle,110,52,Average,1
2003,5510,Central Air,4,4,2,0.717,1250100,Stone-Robinson,Burley,Monticello,104.02,16,Average,1
2007,3692,Central Air,4,3,2,0.511,650300,Stone-Robinson,Burley,Monticello,104.02,12,Average,1
1995,3254,Central Air,3,2,1,24.37,784200,Stone-Robinson,Burley,Monticello,104.01,24,Average,1
2001,2022,Central Air,3,2,0,0.339,429400,Stony Point,Burley,Monticello,105,18,Average,1
2016,2544,Central Air,5,4,1,0.473,751500,Stony Point,Burley,Monticello,105,3,Average,1
1989,1467,Central Air,3,2,0,0.295,355900,Cale,Walton,Monticello,113.03,30,Average,1
2004,2715,Central Air,4,3,0,0.419,536200,Stone-Robinson,Burley,Monticello,104.02,15,Average,1
1995,3208,Central Air,4,4,1,4.813,613700,Baker-Butler,Sutherland,Albemarle,104.01,24,Average,1
1955,922,Central Air,2,1,0,0.57,195000,Meriwether Lewis,Henley,Western Albemarle,110,64,Average,1
1987,2356,Central Air,4,3,1,0.255,398800,Woodbrook,Jouett,Albemarle,106.01,32,Average,1
1980,1306,Central Air,3,3,0,2.603,442100,Murray,Henley,Western Albemarle,110,39,Average,1
1970,1176,No Central Air,3,1,1,0.249,186700,Baker-Butler,Sutherland,Albemarle,102.01,49,Average,1
1972,1479,Central Air,3,2,0,0.353,316100,Greer,Jouett,Albemarle,108,47,Average,1
2003,2526,Central Air,4,3,1,0.315,417900,Stony Point,Burley,Monticello,105,16,Average,1
1955,1478,Central Air,3,1,1,0,317000,Greer,Jouett,Albemarle,108,64,Average,1
2012,2364,Central Air,4,3,1,0.134,489000,Agnor-Hurt,Burley,Albemarle,106.02,7,Average,1
2001,4549,Central Air,4,2,2,2.982,1110100,Meriwether Lewis,Henley,Western Albemarle,110,18,Average,1
2006,2562,Central Air,4,3,1,3.215,547100,Brownsville,Henley,Western Albemarle,112.01,13,Average,1
2013,1380,Central Air,3,2,1,2.327,303600,Brownsville,Henley,Western Albemarle,112.01,6,Average,0
2005,1579,Central Air,3,2,0,1.714,215600,Scottsville,Walton,Monticello,114,14,Average,0
1988,1760,Central Air,3,2,0,0.291,301200,Woodbrook,Jouett,Albemarle,106.01,31,Average,1
1932,1890,No Central Air,2,1,0,11.556,419600,Brownsville,Henley,Western Albemarle,112.01,87,Average,1
1985,960,No Central Air,3,1,0,3,161700,Stone-Robinson,Walton,Monticello,113.01,34,Average,0
1804,3288,Central Air,3,3,0,77.62,920500,Red Hill,Walton,Monticello,114,215,Average,1
1992,3063,Central Air,3,2,1,21,611700,Stone-Robinson,Burley,Monticello,104.01,27,Average,1
1989,3084,Central Air,4,3,1,0.347,500800,Baker-Butler,Sutherland,Albemarle,103,30,Average,1
2004,1232,Central Air,3,2,0,5,211600,Red Hill,Walton,Monticello,114,15,Average,0
1972,1749,Central Air,3,1,1,1.119,311000,Broadus Wood,Jouett,Albemarle,102.02,47,Average,1
1979,1374,Central Air,3,2,0,0.3366,326300,Woodbrook,Jouett,Albemarle,106.01,40,Average,1
1981,1805,Central Air,3,2,0,0,315600,Agnor-Hurt,Burley,Albemarle,107,38,Average,1
1987,2560,Central Air,5,2,2,2.485,568800,Meriwether Lewis,Henley,Western Albemarle,110,32,Average,1
1754,1500,No Central Air,3,1,0,2.01,61900,Stone-Robinson,Burley,Monticello,104.01,265,Average,0
2014,1280,Central Air,3,2,0,0.043,290800,Agnor-Hurt,Burley,Albemarle,106.02,5,Average,0
1988,1235,Central Air,3,2,0,7.411,218400,Scottsville,Walton,Monticello,113.01,31,Average,0
1961,2739,Central Air,3,3,1,1.7,1840100,Murray,Henley,Western Albemarle,110,58,Average,1
1969,1688,Central Air,4,2,1,0.95,266900,Meriwether Lewis,Henley,Western Albemarle,102.02,50,Average,1
1949,3524,Central Air,2,3,0,6.077,720400,Meriwether Lewis,Henley,Western Albemarle,110,70,Average,1
2003,2016,Central Air,3,2,0,2.046,192600,Brownsville,Henley,Western Albemarle,112.01,16,Average,0
2012,4164,Central Air,4,4,1,3.084,1190200,Murray,Henley,Western Albemarle,112.02,7,Average,1
1990,1840,Central Air,3,3,0,0.326,354200,Cale,Walton,Monticello,113.01,29,Average,1
2010,1456,Central Air,3,2,0,1,248400,Red Hill,Walton,Monticello,112.02,9,Average,0
1972,1392,Central Air,3,2,0,0.294,226500,Brownsville,Henley,Western Albemarle,111,47,Average,0
2017,3112,Central Air,4,2,1,0.471,609800,Brownsville,Henley,Western Albemarle,111,2,Average,1
2015,2410,Central Air,4,3,1,0.098,429800,Brownsville,Henley,Western Albemarle,111,4,Average,1
1975,2499,Central Air,5,4,1,4.4,407500,Broadus Wood,Jouett,Albemarle,101,44,Average,1
2006,1886,Central Air,3,2,1,0.181,344200,Crozet,Henley,Western Albemarle,111,13,Average,1
1959,1584,Central Air,3,1,0,0.9,178400,Scottsville,Walton,Monticello,114,60,Average,1
1973,1919,Central Air,4,2,1,0,361600,Meriwether Lewis,Henley,Western Albemarle,110,46,Average,1
2001,3719,Central Air,4,4,1,0.464,606300,Stone-Robinson,Burley,Monticello,104.02,18,Average,1
1954,800,No Central Air,2,1,0,2.34,203600,Meriwether Lewis,Henley,Western Albemarle,111,65,Average,0
1982,2663,Central Air,3,2,1,0.93,358600,Murray,Henley,Western Albemarle,110,37,Average,1
1992,1092,Central Air,3,2,0,0,188900,Agnor-Hurt,Burley,Albemarle,106.02,27,Average,1
1995,3054,Central Air,5,3,1,0.388,561100,Agnor-Hurt,Burley,Albemarle,106.02,24,Average,1
1910,1330,Central Air,2,2,0,2.8,175100,Stone-Robinson,Burley,Monticello,104.01,109,Average,0
1990,1040,Central Air,3,1,1,3.923,161900,Broadus Wood,Jouett,Albemarle,101,29,Average,1
2001,2254,Central Air,4,2,1,0.277,410300,Cale,Walton,Monticello,113.03,18,Average,1
1988,1614,Central Air,3,2,0,0.399,333700,Cale,Walton,Monticello,113.03,31,Average,1
1979,1578,Central Air,3,2,1,2.141,373500,Stony Point,Burley,Monticello,105,40,Average,0
2019,1584,Central Air,3,3,1,0.036,315500,Cale,Walton,Monticello,113.03,0,Average,0
1983,1802,Central Air,3,1,1,0.306,288400,Woodbrook,Jouett,Albemarle,107,36,Average,1
1930,1419,No Central Air,4,1,0,0.707,96600,Red Hill,Walton,Monticello,112.01,89,Average,0
1984,1480,Central Air,3,2,1,2.023,282300,Baker-Butler,Sutherland,Albemarle,102.01,35,Average,1
2000,3124,Central Air,5,5,0,2.001,860400,Meriwether Lewis,Henley,Western Albemarle,110,19,Average,1
