County,State,CKD_number,POP_total,Hypertension,Obesity,Heart_disease,Diabetes,Smoking,Food_Env_Index,Excessive_drinking,Unemployed,Median_household_income,POP_65,POP_Black,POP_White
COLBERT,Alabama,1542,43392,24.12,38,9.4,14.8,20.8,6.7,16,4,53341,20.3,16,77.3
CONECUH,Alabama,464,9727,25.42,43.2,11.7,20.5,23.9,6.2,14,4.8,35621,24.1,45,50
COOSA,Alabama,385,8938,40.54,41,11.2,18.6,21.7,7.2,16,3.1,45954,24.7,29.1,66.1
COVINGTON,Alabama,1096,28897,37.33,37.6,10.3,15.8,21.4,6.9,15,3,44188,21.7,12.5,82.6
CRENSHAW,Alabama,411,10664,35,36.6,9.8,16.4,22.2,6.4,15,3.3,38037,19.7,23.5,69.9
CULLMAN,Alabama,2195,64685,30.1,33.4,9.2,13.7,20.9,7.5,17,2.4,55036,18.7,1.3,91.5
DALE,Alabama,1294,37709,26.09,43.4,8.6,14.4,20.5,6.5,16,3.1,50086,17.7,21,67
DALLAS,Alabama,1392,29189,27.74,42.2,10.6,21.1,23.1,5.8,12,7.4,33159,19.7,70.6,26.5
DE KALB,Alabama,2082,54197,36.4,35.4,10.5,15.6,23,,16,2.5,45062,17.7,1.5,79
ELMORE,Alabama,1892,63676,26.05,35.4,7.5,12.7,18.6,7.8,16,2.7,63147,16.3,21.3,72.8
ESCAMBIA,Alabama,1148,28529,29.68,37.7,10.2,17.3,24.5,6.6,14,4.1,40506,18.4,31.2,60.1
ETOWAH,Alabama,2878,80504,33.71,37,9.5,15.2,20.6,6.2,15,4.1,46308,19.3,15.5,76.9
FAYETTE,Alabama,504,12961,30.14,34.8,10.5,15.5,23.7,7.2,16,3.1,46122,21.8,11.2,84.2
FRANKLIN,Alabama,862,23668,30.32,36,9.7,14.8,22.6,7.2,16,2.5,45440,17,3.9,74.8
GENEVA,Alabama,829,20546,37.21,43,11,16.7,23.9,6.7,16,2.8,43206,21.1,9.1,82.8
GREENE,Alabama,369,6408,25.64,45.6,12.5,25.6,26.6,4,11,6.9,30225,24.7,79.2,17.4
HALE,Alabama,516,11332,27.03,45.6,10.5,20,23.7,6.2,13,5.7,41995,20.1,57.3,39.8
HENRY,Alabama,547,13662,31.67,36,10.1,16.6,21,7.2,16,3.2,56389,23.1,24.7,70
HOUSTON,Alabama,2878,80602,28.54,34.9,9.1,16.1,20.5,7.3,15,3.4,48701,18.6,27.4,65.3
JACKSON,Alabama,1582,40930,30.2,36.9,10.8,15.4,22.2,6.9,16,2.9,46998,21,3.4,88.8
JEFFERSON,Alabama,17072,509229,29.21,34.5,7.6,13.5,16.1,6.7,15,3.6,55210,16.7,43.5,48.9
LAMAR,Alabama,442,10883,25,36.3,11.1,16.8,22.2,7.3,17,3,44265,22.5,10.1,85.8
LAUDERDALE,Alabama,2469,74219,22.2,34.4,8.6,13.2,19,7.3,17,3.2,52222,20.5,9.7,84.2
LAWRENCE,Alabama,958,25842,29.63,36,9.8,15.3,22.8,7,16,2.9,55555,19,10.3,76.4
LEE,Alabama,3551,129048,18.15,32.1,6.3,11.2,16.7,6.8,17,2.8,54188,13.1,22.7,67.4
LIMESTONE,Alabama,2298,74478,29.62,33.4,7.8,13.1,18.5,7.5,17,2.5,69207,15.5,13.7,75.1
LOWNDES,Alabama,385,7718,48,45.8,11,22.3,24,4.7,12,9.2,36993,20.3,71.8,25
MACON,Alabama,697,15321,18.52,46,9.3,19.8,21.3,5.3,13,6,35354,21.5,79.1,17
MADISON,Alabama,8511,286553,31.92,33.1,7.1,12.2,15.7,7.4,16,2.7,78386,15.5,24.3,64.2
MARENGO,Alabama,645,14731,25.97,44.6,10.2,19,21,6,13,4.2,42048,20.3,51.3,44.3
MARION,Alabama,902,23580,27.03,35,10.6,15.1,22.9,7.1,16,2.8,44636,21.1,4.2,91.1
MARSHALL,Alabama,2569,72173,31.31,38.9,9.7,14.5,21,6.7,15,2.4,50858,17.2,2.6,79
MOBILE,Alabama,11166,317046,32.48,36.9,8.8,14.4,20.4,6.6,17,4.7,49848,17,36.3,56
MONROE,Alabama,750,16524,21.52,42.1,11.1,19.6,23.3,6,14,5.6,40997,21.7,41,53.8
MONTGOMERY,Alabama,6253,172989,27.15,36.6,8.1,15.9,17.2,6.5,14,4.9,50645,16,60.1,31.1
MORGAN,Alabama,3088,91921,30.29,37.4,8.7,13.7,20.7,7.1,17,2.6,56340,18.1,12.9,74.4
PERRY,Alabama,378,7198,34.21,44.1,11.7,22.7,27.3,3.4,11,8.3,31522,20.6,67.4,29.2
PICKENS,Alabama,669,16017,28.43,41.9,10.1,18,23.4,6.9,14,4.1,43926,19.5,39.6,53.1
PIKE,Alabama,887,27010,25,37.6,7.6,13.4,20,6.7,15,3.2,38945,15.9,38,55.4
RANDOLPH,Alabama,682,17851,27.78,36.1,10.1,16.1,21.1,6.4,16,2.7,45889,21.3,18.7,75.8
RUSSELL,Alabama,1584,43813,30.49,38.3,8.2,15.6,21.5,6.7,14,3.1,44849,15.1,45.4,44.8
SHELBY,Alabama,2181,68564,33.22,38,8.3,13,20.4,7.9,16,2.6,63015,17.4,10.2,84.4
ST. CLAIR,Alabama,4464,165062,28.95,32.7,6.6,10.6,13.7,8.3,17,2.1,85457,16.5,13.9,76.1
SUMTER,Alabama,456,10284,30.65,40.4,9.3,18.9,22.7,5.9,12,4.5,29490,19.9,70.4,25.3
TALLADEGA,Alabama,2427,62910,28.77,38.7,9.8,16.6,22.4,6.7,15,4.1,47331,18.9,32.9,61.9
TALLAPOOSA,Alabama,1295,32128,26.62,35,10.4,16.7,21.5,7.3,16,4,47444,22.8,26.5,68.7
TUSCALOOSA,Alabama,4691,165150,29.39,34,6.5,12,18.2,7.2,17,3.6,56274,14.2,32.6,60
WALKER,Alabama,1828,49568,44.79,36.6,10.2,14.9,22.8,6.9,16,3.6,46343,19.8,6,88.5
WASHINGTON,Alabama,518,12774,25,34.9,10.4,17.3,22.7,7.3,15,4.7,49795,20.1,22.8,65.3
WILCOX,Alabama,405,8102,33.33,45.3,11.2,21.8,25.2,4.1,12,11,30071,21.2,69.5,27.2
WINSTON,Alabama,731,18827,24.22,36.1,11,15.7,23.9,7.2,16,2.8,47176,22.2,1,93.3
APACHE,Arizona,90,52300,23.15,34.8,10.9,17,26.2,2.7,16,9.1,41002,16.3,0.5,18.1
COCHISE,Arizona,119,99458,28.62,32.2,8.4,11.7,17.5,6.7,17,4.8,55748,23.7,3.9,54.4
COCONINO,Arizona,5309,113400,31.82,24.6,5.6,8.5,17.8,6.5,19,6,63829,14.1,1.2,53.5
GILA,Arizona,472,43062,24.62,32,10.9,14.2,23.2,6.5,20,5,52665,29.9,0.6,61.3
GRAHAM,Arizona,22,27785,22.39,34,7.3,11.5,19.4,6.4,19,4.1,52644,14.1,1.5,50.9
GREENLEE,Arizona,44,6893,20,32.7,6.4,10.9,16.4,7.2,18,4,71669,14.5,1.6,44
LAPAZ,Arizona,125,17558,28.17,34.6,14.5,17.7,21.3,4.6,18,5.1,44330,40.8,0.9,55.5
MARICOPA,Arizona,1653,3358036,33.92,29.8,6.4,9.6,14.6,8,18,4.5,76230,15.8,5.8,53.4
MOHAVE,Arizona,65,173811,30.1,28.6,11.2,14.2,21,5.6,22,5.5,48169,31.7,1.2,75.7
NAVAJO,Arizona,69,80973,23.56,32.5,10.6,15.2,23.6,4.3,16,6.5,49057,19.3,0.8,42
PIMA,Arizona,621,822337,29.56,28.7,7.7,10.8,15.8,7.3,19,5,60604,20.7,3.5,50.3
PINAL,Arizona,1384,346360,28.38,37.6,8,13.5,18.7,7.1,18,4.7,70835,21,5,55
SANTA CRUZ,Arizona,313,34076,21.84,36,8.6,16,15,6.1,15,8.7,49216,19.2,0.5,15.5
YAVAPAI,Arizona,239,194306,28.27,27.4,9.9,11.8,17.4,6.9,18,4.1,57676,33.7,0.8,79.3
YUMA,Arizona,229,158634,27.55,36.9,8.6,13,16.4,6.5,16,12.9,55991,19.6,1.9,29.2
ARKANSAS,Arkansas,42,13695,17.2,38.3,10.3,15.5,22.4,5.4,16,3.4,50928,20.2,24.8,68.2
ASHLEY,Arkansas,2049,15464,20.14,37.9,10.8,16.4,25.1,6.5,16,7.4,44030,21.2,23.8,67.9
BAXTER,Arkansas,233,34235,33.66,32.5,11.8,14.5,22.1,7.1,19,3.7,45116,30.6,0.5,93.9
BENTON,Arkansas,200,201039,26.21,32.7,7,10.3,16.2,8,19,2.8,78974,13.6,1.9,71.3
BOONE,Arkansas,186,28887,24.75,32.4,10.1,13,22.1,6.8,19,3,48700,20.8,0.5,93.1
BRADLEY,Arkansas,77,8286,19.72,37,10.2,16.3,22.3,6.8,15,4.7,40454,19,27.1,54
CALHOUN,Arkansas,185,4282,11.76,38,10.7,15.8,22.8,5.7,17,3.3,49977,21.7,20.2,72.1
CARROLL,Arkansas,189,22158,23.58,35,10.4,13.9,20.5,7.3,17,3.4,49225,23.9,0.6,77
CHICOT,Arkansas,23,8111,12.31,41.8,11.5,19.1,26.8,5,14,8.6,34857,22,52.8,38.6
CLARK,Arkansas,153,17877,28.4,32.8,7.6,11.8,21.3,6.3,17,4.7,47158,16.7,23.4,68.2
CLAY,Arkansas,189,11619,25.53,34.3,11.3,14.6,24.4,6.3,17,4,41419,21.4,0.9,94.3
CLEBURNE,Arkansas,72,20228,19.05,31.9,11.4,14.6,22.3,6.9,19,4.6,50200,27.1,0.5,93.7
CLEVELAND,Arkansas,18,6264,20,38.3,10.8,14.9,23.5,7.1,17,4,53705,21.3,10.9,83.9
COLUMBIA,Arkansas,170,18666,16.38,40.4,9.1,14.5,23.2,6.4,15,5.3,44651,17.3,34.9,59.3
CONWAY,Arkansas,2669,16179,31.25,37.5,9.9,14.3,24.1,6.2,17,4.2,47741,19.9,11.4,80.6
CRAIGHEAD,Arkansas,3761,81468,19.2,37.9,7.5,11.5,20.6,6.6,17,3.3,52490,14,17.2,73.7
CRAWFORD,Arkansas,3246,47905,26.73,38.8,9.2,12.7,23.4,6.3,16,3.6,54065,17.6,1.6,82.8
CRITTENDEN,Arkansas,1979,35266,23.86,38.2,8.7,15.8,22.3,6.4,14,5.4,43821,14.6,55,39.6
CROSS,Arkansas,921,12770,18.42,39.5,9.9,15.2,23.8,6.1,16,4.4,45262,18.8,23.1,71.7
DALLAS,Arkansas,213,5647,27.03,40.4,10.9,17.9,22.7,5.3,15,4.1,42442,25.3,39.9,52.9
DESHA,Arkansas,970,8562,12.07,43.2,11.6,19.3,25.8,5.6,13,5.9,39042,19.8,47.1,43.1
DREW,Arkansas,105112,14389,24.29,32.3,8.9,13.9,22.7,6.7,15,5,46572,18.2,27.7,65.8
FAULKNER,Arkansas,7559,96026,21.94,32.5,6.8,10.4,20,6.7,17,3.5,57573,13.2,12.4,79
FRANKLIN,Arkansas,3679,13736,42.03,37.3,10.8,14.4,24.9,6.8,17,3.7,47834,20,0.8,90.8
FULTON,Arkansas,28191,9748,15.79,36.3,13,16.4,25.8,6.6,17,3.6,41557,25.9,0.8,93.7
GARLAND,Arkansas,12358,79213,19.6,31.5,10.3,14.1,20.6,6.2,16,5,48053,24.4,8.6,81.1
GRANT,Arkansas,1487,14107,32.1,34,8.7,11.8,20.2,6.7,18,3.2,67088,18.3,2.8,91.6
GREENE,Arkansas,7876,34222,20.25,35,8.6,11.9,22.8,6.7,17,3.4,53920,16.2,2.1,91.9
HEMPSTEAD,Arkansas,6229,16132,23.61,39.1,10.4,16.6,22.9,6,16,3.5,41281,19.1,29.6,53
HOT SPRING,Arkansas,536,26787,26.87,33.8,9.6,13.6,22.9,6.5,18,3.9,51662,19.7,10.9,82.3
HOWARD,Arkansas,631,9869,27.71,38.7,10.1,15.3,22.6,6.1,16,3.2,42733,18,20.5,62.5
INDEPENDENCE,Arkansas,1381,28556,28.76,33.6,9.3,12.3,21.7,7.1,17,3.9,48957,18.3,2.4,87.1
IZARD,Arkansas,5240,11146,14.75,34.6,11.4,14.9,24.2,7.1,17,5.4,40788,24.8,2.5,92.1
JACKSON,Arkansas,1021,13430,19.05,38.8,10.5,15.4,26,5.4,16,5.2,37815,18.3,17.3,76.1
JEFFERSON,Arkansas,332,53061,26.28,42.2,9.2,16.4,22.6,6.4,14,6.6,46100,18.7,57,37.8
JOHNSON,Arkansas,170,20125,25.56,36,10.1,14,24.1,6.1,16,4.7,43003,17.2,1.7,77.5
LAFAYETTE,Arkansas,818,5452,21.21,38.7,11.6,17.9,26.1,5.9,15,5.8,38777,25.2,34.5,59
LAWRENCE,Arkansas,385,12820,24.74,36.9,10.3,13.7,23.8,5.7,17,4.3,44661,19,1.2,94.4
LEE,Arkansas,546,7346,35.56,43.4,11.2,18.8,27.6,4.8,15,5.6,29714,20.3,53.5,40.8
LINCOLN,Arkansas,458,11133,15.79,41.6,9,13.9,25.2,6,17,4.6,45435,15.7,29.8,63.4
LITTLE RIVER,Arkansas,790,9584,24.62,36.4,10.2,15.1,21.5,7.8,17,4.5,46619,21,19.6,72.2
LOGAN,Arkansas,240,17026,29.91,33.1,10.5,14.1,23.8,6.4,17,4.2,45558,20.3,1.4,90.4
LONOKE,Arkansas,675,54648,25.99,34.5,7.3,10.8,20.7,7.5,18,3.3,64633,14.4,6.3,85
MADISON,Arkansas,593,12577,23.44,33.6,10.6,14.6,25.2,6.6,17,3.1,49691,19.5,0.6,88
MARION,Arkansas,2384,13606,26.15,33.2,12.6,16.4,23.5,6.8,18,4.3,42892,29.1,0.7,93.1
MILLER,Arkansas,1577,33289,20.96,37.2,9.3,14.2,22.4,6.3,16,4.8,45450,17.3,25.3,67.5
MISSISSIPPI,Arkansas,1311,30494,22.22,43,9.7,16.4,24.2,6.2,16,7.2,41007,15.4,35.5,57.4
MONROE,Arkansas,478,5447,27.91,41.5,12.3,19.8,25.5,5.6,15,5.3,37113,24.2,40.1,53.6
MONTGOMERY,Arkansas,244,7285,23.26,33.9,12.5,15.9,23.6,6.1,17,4.8,41359,26.6,0.5,90
NEVADA,Arkansas,403,6444,18,42.1,10.8,17.1,22.7,4.6,16,4,40283,21.6,29.2,63.5
NEWTON,Arkansas,508,6303,19.57,36.6,11.7,15.4,21.8,6.8,18,3,41823,27.4,0.4,92.5
OUACHITA,Arkansas,2543,18313,20,41.3,10.9,18.1,24.4,5.5,15,3.9,47169,21.2,39.7,54.7
PERRY,Arkansas,517,8038,21.74,35.8,10.6,14.2,22.3,7,18,4.1,51204,20.8,2.2,91.3
PHILLIPS,Arkansas,430,13383,20.83,44.2,11.2,20.2,24.8,4.4,13,7.7,32419,20.2,61.5,34.3
PIKE,Arkansas,2980,8392,14.06,33.9,10.6,14.4,22.4,6.4,17,4.4,43710,20.7,3.5,86.2
POINSETT,Arkansas,437,18214,28.04,38.5,10.3,14.5,26,6.1,16,3.9,42639,18.2,8.2,85.4
POLK,Arkansas,1061,15482,24.3,35.2,12,15.6,24.2,5.3,17,4.4,43166,23,0.6,87.4
POPE,Arkansas,655,49491,20.41,33.9,8.5,12.5,21.8,6.9,16,4,47049,16.3,3.2,82.8
PRAIRIE,Arkansas,937,6461,27.91,34.6,11.2,15.1,22.2,7.8,17,3.7,59367,24.2,10.5,85.4
PULASKI,Arkansas,384,301671,25.8,34.7,7.6,12.8,18.2,6.5,17,4.9,53597,16.5,38,50.7
RANDOLPH,Arkansas,964,13693,16.85,35.8,10.8,14.5,25.1,6.3,17,3.9,43484,19,1.3,90.3
SALINE,Arkansas,438,20043,26.5,47.4,9.9,17.3,26,4.9,15,6.2,36781,16.9,52.1,39
SCOTT,Arkansas,520,93198,38.64,32,7.9,10.7,17.6,7.7,18,3.1,68107,18.3,9.1,81.9
SEARCY,Arkansas,2089,7923,23.81,36.2,12,16.5,24.6,5.4,17,3.3,39974,20.9,0.8,83.4
SEBASTIAN,Arkansas,730,6332,30.46,33.5,12.5,16,27,5.2,17,4.2,35422,25.9,0.4,92.3
SEVIER,Arkansas,246,97228,32.91,37.6,8.8,13.8,21.2,6.9,16,3.7,49170,16.7,6.7,68
SHARP,Arkansas,461,12265,29.29,35,9.3,14.3,22,6.4,16,4.4,46651,15,3.6,55.3
ST. FRANCIS,Arkansas,335,13794,29.47,39.3,13.3,16.9,25.1,5.3,17,4.9,39183,25.1,1.1,92.8
STONE,Arkansas,378,10061,32.41,40.4,13.3,16.5,26.7,5.8,16,5,37782,28.3,0.5,94.4
UNION,Arkansas,363,29707,29.15,35.9,9.3,14.8,21.2,6.4,16,6.1,47315,18.9,32.9,60.3
VAN BUREN,Arkansas,629,13275,24.39,36.7,12.1,15.8,24.2,6.5,17,4.9,39629,26.7,0.8,92.3
WASHINGTON,Arkansas,1518,179233,22.45,32.3,6.9,10.1,18.9,7.5,17,2.9,64218,12.3,3.5,69.7
WHITE,Arkansas,465,60570,26.51,37.2,8.5,12.3,21.8,6.8,17,4,51660,16.6,4.5,87.2
WOODRUFF,Arkansas,585,5069,16.67,37.3,11.5,17.5,25,7.1,15,5,37331,24.3,25.3,69.5
YELL,Arkansas,1195,16200,11.32,36.2,10.3,14.4,23.4,7.2,16,4,48526,18.1,1.9,73.5
ALAMEDA,California,1179,1324243,31.58,23.4,4.7,9.4,9.9,8.8,18,6.1,108971,14.9,9.8,29.2
ALPINE,California,263,908,0,29.5,9.7,14.3,13.5,6.7,23,8.1,87570,24.8,0.3,62.8
AMADOR,California,306,33469,28.71,29.1,8.4,12.1,14.4,8.6,24,7,68159,27.4,2.8,76
BUTTE,California,266,185043,23.64,31.6,7.1,10.7,15.3,7.3,21,6.9,62982,18.2,1.7,69.2
CALAVERAS,California,249,37881,21.72,26.6,8.6,12.2,14.6,7.9,23,5.7,68298,28.5,0.9,78.4
COLUSA,California,796,15720,31.03,30.5,7.1,12.3,14.2,6.9,20,12.5,60725,15.4,1.1,33
CONTRA COSTA,California,298,890424,28.35,23.1,5.4,9.8,10,8.8,20,6.4,110595,16.7,8.7,40.8
DEL NORTE,California,657,21974,26.53,31.7,8.3,12.7,17.6,6.4,21,7.6,48108,18.9,3.5,60.7
EL DORADO,California,312,152857,23.97,26.6,6.8,10.1,11.9,8.4,23,5.7,87689,22.6,0.9,75.9
FRESNO,California,672,712581,31.96,33.5,6.7,12,14.2,7.3,19,9.2,63140,12.6,4.6,27.2
GLENN,California,635,20594,21.83,30.6,7.5,12.1,15.8,7.4,20,6.9,56741,16.7,0.9,49.1
HUMBOLDT,California,1553,110189,27.26,26.2,7.1,10.3,15.8,7.3,22,6.2,53924,19.2,1.3,72.6
IMPERIAL,California,257,130062,38.62,36.4,6.8,14.2,14,6.2,19,17.3,50970,13.4,2.5,9.2
INYO,California,9669,14306,26.47,27.3,8,11.7,13.9,7.8,22,5.9,62381,24.1,0.9,59.5
KERN,California,523,637584,26.03,33.6,6.6,12.3,15.1,7.1,18,10,57926,11.4,5.3,31.1
KINGS,California,812,110402,28.06,34.1,6,11.5,15,7.6,20,9.6,60810,10.7,6.3,30
LAKE,California,2667,50892,27.56,30,9.2,13.5,16.9,7.6,22,7.6,55801,23.1,1.7,66.7
LASSEN,California,329,25535,22.94,28.7,6.7,10.2,17.1,7.6,22,5.9,56923,15.9,7.8,63.7
LOS ANGELES,California,266,7916625,43.18,26.5,5.5,12,10.5,8.1,18,8.9,77356,14.6,7.9,25.3
MADERA,California,3284,114333,31.27,32.8,7.2,12.7,15.4,7.7,19,8.8,60241,14.3,3.1,31.7
MARIN,California,436,207741,20.11,21.4,6.1,9.2,8.8,9.2,22,4.5,118472,23.4,2.6,70.1
MARIPOSA,California,616,14643,21.11,26.3,9.1,12.6,14.5,7.5,22,8,60377,28.8,1.2,77.5
MENDOCINO,California,449,68893,18.72,28.5,8.2,12.7,15,7.4,21,6.2,57516,23.7,0.8,62.9
MERCED,California,1096,194177,27.99,36.3,6.6,12.8,15,7.2,19,10.4,54703,11.5,3,24.8
MODOC,California,552,7069,23.08,29.9,10.1,14.1,16.8,6.3,22,7.1,49273,28.4,1.2,76
MONO,California,4704,11642,7.84,27.7,6.1,9.6,12.6,6.9,23,6.8,70945,17.7,0.8,65.4
MONTEREY,California,1891,321760,22.21,28.1,6.3,11.2,12.4,8.2,20,8.3,81404,14.5,2.5,28.4
NAPA,California,221,110617,25.5,25.2,6.3,10.1,11.1,8.8,22,6,94127,20.2,2.2,50.4
NEVADA,California,594,82625,22.41,22.1,7.9,10.6,12.2,7.8,23,5.6,77220,28.5,0.5,84
ORANGE,California,33226,2487180,31.39,21.6,5.5,10.1,10.5,8.8,17,6,100210,15.7,1.7,38.5
PLACER,California,37,305708,26.55,21.8,5.9,9,10.4,8.7,23,5,103588,20,1.8,69.5
PLUMAS,California,1197,15631,21.49,25.8,8.5,11.9,13.9,8,23,9.5,58154,30.3,1.1,82.1
RIVERSIDE,California,5984,1834632,31.94,28.8,6,11.7,13,8.1,21,7.3,78690,14.8,6.3,32
SACRAMENTO,California,1399,1177066,31.07,28.3,5.8,10.5,12.6,8,19,7,79611,14.7,9.7,42.1
SAN BENITO,California,537,45710,16.84,28.3,5.6,10.6,11.8,8.8,21,7.2,95187,13.2,1.1,30.5
SAN BERNARDINO,California,24756,1599325,34.84,34.7,5.8,12.8,13.5,7.8,19,7.4,74218,12.1,8,25.4
SAN DIEGO,California,799,2620956,28.15,24.1,5.3,9.6,10.9,8.5,21,6.5,90756,14.9,4.7,43.8
SAN FRANCISCO,California,4715,764613,27.02,16.8,4.6,8.8,9,8.5,19,5,119776,17.5,5.1,38.2
SAN JOAQUIN,California,23776,548344,31.87,33.3,6.3,12,13.9,7.9,21,8.7,79598,13.1,7.1,28.3
SAN LUIS OBISPO,California,717,234010,23.85,27.1,6.3,9.6,11.6,8.5,23,5.2,79688,21.4,1.8,67.5
SAN MATEO,California,3567,611162,26.39,21.5,5,9.5,8.7,9.3,19,4.6,131151,17.5,2.2,37.4
SANTA BARBARA,California,4881,347740,26.92,25.3,5.9,9.6,11.7,8.6,21,5.8,83185,16,1.7,42.7
SANTA CLARA,California,502,1513143,25.11,19.1,4.5,9.5,8.4,9.2,19,4.7,141161,14.5,2.4,28.9
SANTA CRUZ,California,20771,221403,22.42,20.9,5.7,9.2,11.4,8.2,22,6.9,90370,18.3,1,56.2
SHASTA,California,3412,141456,23.54,26.6,7.7,11.2,15.4,7.3,22,6.8,60187,21,1.1,77.9
SIERRA,California,2028,2507,5.56,28,9.5,13.3,14.2,6,24,6,60659,30.4,0.4,81.8
SISKIYOU,California,762,34922,24.49,28.4,9.2,12.9,16.1,6.6,22,8.1,50069,26.9,1.4,74.2
SOLANO,California,237766,347870,32.8,27.1,5.7,11,11.9,8.5,19,7.5,87348,16.9,13.6,35.3
SONOMA,California,4039,401746,23.8,25.3,6.2,10.1,11.8,8.7,23,5.5,92999,21.1,1.7,61.5
STANISLAUS,California,6111,401014,31.6,32.9,6.5,11.2,14.4,8.1,21,8.4,73151,13.4,2.8,38.1
SUTTER,California,561,71748,30.77,27.5,7,12.1,14.3,7.4,19,9,63246,16,2.1,43.3
TEHAMA,California,2543,48553,18.57,34.2,8.7,13,16.5,6.9,21,7.2,53654,20.2,0.9,65.6
TRINITY,California,6602,10395,20.66,30.1,10.3,14.4,17.8,6.8,21,6.3,45508,29.1,0.5,80.5
TULARE,California,297,323013,28.81,35,6.9,13.1,15.6,7.3,18,10.7,57398,11.6,1.3,26.4
TUOLUMNE,California,328,45381,21.07,26.9,8.3,11.6,13.9,7.5,23,7.3,61396,27.2,2.2,78.3
VENTURA,California,10298,656414,28.9,23.9,5.9,9.7,11.1,8.8,19,6.2,95819,16.7,1.8,43.6
YOLO,California,3299,174175,26.67,24.5,5.1,9,12.2,8.4,19,5.8,76247,13.2,2.6,44.6
YUBA,California,2857,56484,25.79,28.1,6.5,10.9,15.3,7,20,8.5,60764,13.2,3.9,51.7
ADAMS,Colorado,68201,376092,31.79,30.4,5,8.2,14.4,8.4,19,6.2,80831,11,3.3,47.8
ALAMOSA,Colorado,8691,12671,12.12,28.6,6.4,10.4,17.1,7,18,5.5,51009,14.7,1.1,46.4
ARAPAHOE,Colorado,573,497818,28.44,23.5,4.7,7.9,13.1,8.8,21,5.8,84308,14,10.8,58.1
ARCHULETA,Colorado,57180,11280,28.57,23.8,7.6,10.3,14,7.6,22,4.9,68025,27.3,0.6,76.1
BACA,Colorado,34526,2783,19.23,27.7,9.8,12,19.8,7.2,20,2.1,44257,25,1,82
BENT,Colorado,1332,5005,25,29.1,8,11.9,20.8,7.4,19,6.1,37185,19.2,6.8,56.1
BOULDER,Colorado,49429,264127,20.43,15.2,4.6,6.6,11.3,8.8,21,4.4,90327,15.9,1,77.3
BROOMFIELD,Colorado,70932,53262,31.91,21.8,4.5,6.5,10.7,8.7,21,4.5,106413,15,1.4,75.1
CHAFFEE,Colorado,17872,17018,26.19,23.6,7.5,9.7,15.2,8.2,22,4,65987,26.1,1.7,84.7
CHEYENNE,Colorado,17092,1399,33.33,25.8,7.6,10,16.2,8,21,2.3,58544,22.4,1.3,81.5
CLEAR CREEK,Colorado,6945,8157,23.08,23.3,6,8.3,12.6,8.5,23,5.5,78312,22,1,87.5
CONEJOS,Colorado,15505,6074,21.74,29.2,8.7,14.3,16.7,8,18,4.8,45931,20,0.6,45.5
COSTILLA,Colorado,10194,3104,22.22,30.4,11.6,18.4,17,1.6,17,6,35416,26.3,1.6,34.6
CROWLEY,Colorado,35804,5171,26.67,31.9,7.2,11.2,21.6,7.4,19,5.2,38049,13.3,10.6,52.5
CUSTER,Colorado,6334,4269,34.78,24.3,8.9,11.7,14.6,8.4,22,4,63505,33.2,1.5,88.7
DELTA,Colorado,4876,24756,20.49,25.9,9.3,12,19.5,7.6,21,5.3,52403,27.3,0.6,80.7
