A_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,A_Depth,A_Ag,A_Al,A_As,A_Ba,A_Be,A_Bi,A_C_Tot,A_C_Inorg,A_C_Org,A_Ca,A_Cd,A_Ce,A_Co,A_Cr,A_Cs,A_Cu,A_Fe,A_Ga,A_Hg,A_In,A_K,A_La,A_Li,A_Mg,A_Mn,A_Mo,A_Na,A_Nb,A_Ni,A_P,A_Pb,A_Rb,A_S,A_Sb,A_Sc,A_Se,A_Sn,A_Sr,A_Te,A_Th,A_Ti,A_Tl,A_U,A_V,A_W,A_Y,A_Zn
C-328982,4192,AL,31.0277,-87.061,2/18/2009,Developed,Low Intensity Residential,0-20,<1,1.07,1.5,50,0.1,0.09,0.71,N.D.,0.71,<0.01,<0.1,30.9,0.6,8,<5,4.1,0.58,2.41,0.01,<0.02,0.08,14.2,4,0.02,50,0.29,<0.01,2.5,2.5,80,6.9,7.1,<0.01,0.15,2.2,<0.2,0.6,6,<0.1,6.1,0.23,<0.1,1.3,15,0.1,4.2,6
C-328971,4304,AL,34.0374,-87.2118,2/26/2009,Forested Upland,Evergreen Forest,0-15,<1,1.8,2.1,121,0.4,0.09,0.94,N.D.,0.94,0.02,2.2,37.6,2.6,14,<5,5.9,0.82,3.42,0.03,<0.02,0.26,16.9,7,0.07,183,0.37,0.02,0.5,7.8,120,10.7,20.3,<0.01,0.07,2,0.2,0.5,17.1,<0.1,4.2,0.05,0.2,0.9,20,<0.1,4.9,28
C-329036,4384,AL,31.4932,-86.1309,2/18/2009,Planted/Cultivated,Pasture/Hay,0-20,<1,1.54,2.6,131,0.7,0.1,0.22,N.D.,0.22,0.04,<0.1,61.6,3.9,40,<5,9.2,1.6,3.31,0.02,<0.02,0.34,21.9,7,0.09,271,0.49,0.02,5.3,7.4,490,7.9,28,<0.01,0.38,2.3,<0.2,0.5,12.3,<0.1,5.2,0.18,0.2,1.4,28,0.5,19.2,25
C-329047,4752,AL,33.491,-87.5339,2/26/2009,Planted/Cultivated,Fallow,0-10,<1,2.71,4.8,201,0.7,0.14,1.6,N.D.,1.6,0.06,<0.1,38.1,4.4,28,<5,11.7,1.83,6.47,0.04,0.03,0.58,18.4,16,0.12,276,1.05,0.03,8,8.5,210,15.3,41.4,0.02,0.51,4.9,0.6,1.1,25.5,<0.1,8.2,0.27,0.3,2.4,41,0.6,7.2,27
C-329083,4816,AL,32.8294,-86.1011,2/23/2009,Developed,Low Intensity Residential,0-5,<1,8.89,2.8,282,2.2,0.14,1.19,N.D.,1.19,0.09,<0.1,39.4,3.7,20,<5,8.2,3.64,20,0.07,0.05,0.6,22.8,24,0.17,109,0.69,0.02,10.2,9.5,320,18.8,44.6,0.02,0.26,9.9,0.5,4.8,32.5,<0.1,9.6,0.39,0.5,3,71,0.6,7,49
C-329037,5008,AL,34.3422,-87.9365,2/25/2009,Developed,Low Intensity Residential,0-10,<1,1.59,2.8,176,0.5,0.12,0.76,N.D.,0.76,0.03,<0.1,49.1,4.9,22,<5,5.8,0.95,3.68,0.03,<0.02,0.44,19.7,10,0.07,232,0.46,0.07,7.5,6.3,110,10.4,25.8,<0.01,0.32,2.6,0.2,0.6,20.5,<0.1,6.4,0.23,0.3,1.7,25,0.5,8.3,17
C-328937,5328,AL,34.3654,-87.0215,2/26/2009,Planted/Cultivated,Pasture/Hay,0-40,<1,3.96,10.2,282,1.1,0.22,0.79,N.D.,0.79,0.06,0.1,88.8,12,42,<5,14.7,2.17,8.14,0.06,0.04,0.73,30.3,26,0.16,1120,1.34,0.09,12.7,18.6,550,30,59.8,0.01,0.9,6.2,0.4,1.5,33.6,<0.1,10.8,0.41,0.7,4.4,60,1.1,16.8,93
C-328939,5408,AL,32.0066,-85.1349,2/19/2009,Developed,Low Intensity Residential,0-20,<1,0.39,0.6,44,0.1,0.06,0.43,N.D.,0.43,<0.01,<0.1,46.1,0.5,5,<5,2,0.22,1.01,0.01,<0.02,0.08,22.4,3,0.01,121,0.26,<0.01,4.6,1.4,150,5.4,5.6,<0.01,0.1,0.7,<0.2,0.3,5,<0.1,8.5,0.2,<0.1,1.8,7,0.2,4.5,7
C-328987,5472,AL,32.4912,-87.8568,2/21/2009,Developed,Low Intensity Residential,0-10,<1,3.2,11.5,211,1,0.19,1.46,N.D.,1.46,0.28,0.3,81.4,8.9,43,<5,18,2.63,6.65,0.03,0.03,0.49,28.5,33,0.17,952,0.85,0.09,10.1,15,440,24.6,30.4,0.02,0.66,5.2,0.4,1.6,38.5,<0.1,10.9,0.31,0.3,2.8,46,0.6,12.4,80
C-328975,5520,AL,33.2135,-88.2789,2/21/2009,Planted/Cultivated,Urban/Recreational Grasses,0-15,<1,2.28,2.1,240,0.9,0.08,1.69,N.D.,1.69,0.33,0.1,67.2,3.8,23,<5,8.1,1.36,5.08,0.02,<0.02,0.71,32.8,13,0.16,369,0.43,0.15,10,7,570,11,33.9,0.02,0.19,3.6,<0.2,0.7,63.3,<0.1,11.1,0.31,0.2,2.7,32,0.3,11,31
C-329075,5776,AL,32.9087,-87.3015,2/21/2009,Forested Upland,Mixed Forest,0-15,<1,0.54,1.1,48,0.2,0.05,0.62,N.D.,0.62,0.01,<0.1,23.5,1,4,<5,5.3,0.29,1.12,0.02,<0.02,0.12,11.5,3,0.02,51,0.19,0.01,0.5,2,160,10.1,7.7,<0.01,0.07,0.6,<0.2,0.3,5.7,<0.1,2.9,0.03,<0.1,0.6,7,<0.1,3.4,15
C-328918,5920,AL,31.44,-87.273,2/18/2009,Planted/Cultivated,Pasture/Hay,0-10,<1,2.76,3.7,52,0.3,0.16,0.56,N.D.,0.56,0.01,<0.1,39.4,1.9,22,<5,12.7,1.2,6.02,0.03,0.03,0.11,17.4,11,0.05,100,0.98,<0.01,8.1,10.7,260,12.7,12.5,<0.01,0.58,3.3,0.3,1.4,7.3,<0.1,5.7,0.28,0.2,1.6,35,0.6,8.4,24
C-328932,6240,AL,30.6595,-87.7096,2/17/2009,Developed,Low Intensity Residential,0-15,<1,0.96,1.1,53,0.2,0.09,1.53,N.D.,1.53,<0.01,<0.1,23,0.6,13,<5,4.3,0.47,2,0.03,<0.02,0.1,9.8,6,0.03,165,0.29,<0.01,5.3,2.6,70,9.1,7.5,<0.01,0.24,1.7,<0.2,0.7,7.3,<0.1,4.3,0.26,<0.1,1,15,0.2,3,8
C-328914,6432,AL,32.1404,-85.8959,2/20/2009,Planted/Cultivated,Pasture/Hay,0-30,<1,0.93,0.8,131,0.5,0.08,0.68,N.D.,0.68,0.11,<0.1,84.1,1,8,<5,3.8,0.29,1.93,0.01,<0.02,0.35,41.8,5,0.07,98,0.38,0.03,4.9,2.2,330,12.9,15.6,<0.01,0.22,1,<0.2,1.2,17.6,<0.1,14.1,0.25,0.1,3,12,0.3,9.5,16
C-328910,6544,AL,33.0422,-87.5904,2/21/2009,Planted/Cultivated,Pasture/Hay,0-20,<1,1.17,3.1,158,0.4,0.09,1.28,N.D.,1.28,0.07,0.1,35.6,2.5,13,<5,9.4,0.73,2.57,0.03,<0.02,0.36,18.7,7,0.05,338,0.35,0.03,5.1,4.5,410,28.6,21.7,0.01,1.04,1.9,<0.2,2.2,17.3,<0.1,6.3,0.21,0.2,1.6,16,0.5,6.7,44
C-328913,6688,AL,30.6134,-88.2555,2/17/2009,Developed,Low Intensity Residential,0-25,<1,1.61,2.3,58,0.2,0.09,0.97,N.D.,0.97,0.04,<0.1,27.5,1.1,17,<5,7.9,0.82,3.52,0.02,<0.02,0.09,13.8,8,0.04,233,0.56,<0.01,6.4,6.5,200,12.7,8.9,<0.01,0.32,2.4,<0.2,1,7.1,<0.1,4.7,0.23,<0.1,1.1,22,0.4,6,25
C-328976,6800,AL,32.8959,-86.3391,2/23/2009,Forested Upland,Evergreen Forest,0-40,<1,5.48,1.4,612,1.8,0.11,3.25,N.D.,3.25,<0.01,<0.1,52.3,0.4,43,<5,110,1.91,12.3,<0.01,0.07,0.48,28.3,5,0.11,24,39,<0.01,1.3,40.4,660,16.2,23.9,0.01,0.1,10.6,8.3,0.8,33.4,<0.1,10.7,0.12,0.6,25.5,524,0.5,14.3,31
C-328983,6864,AL,32.5015,-85.1717,2/19/2009,Developed,Low Intensity Residential,0-30,<1,0.43,0.8,53,<0.1,0.05,0.53,N.D.,0.53,<0.01,<0.1,37.6,0.7,2,<5,2.6,0.27,0.88,<0.01,<0.02,0.12,20.4,2,0.01,66,0.16,<0.01,2.2,1.2,140,5.5,5.6,<0.01,0.08,0.5,<0.2,0.2,4.4,<0.1,9.7,0.1,<0.1,1.4,6,0.1,2.8,14
C-328981,6944,AL,31.9466,-87.2578,2/20/2009,Developed,Low Intensity Residential,0-30,<1,3.24,5.3,156,0.7,0.16,0.28,N.D.,0.28,0.04,<0.1,56.6,4.5,17,<5,11.4,1.41,6.1,0.04,0.03,0.26,20.4,15,0.12,152,0.82,0.01,7.9,15.8,170,13.3,30.1,<0.01,0.43,4.1,0.2,1,15.9,<0.1,8.8,0.29,0.4,2.1,40,0.7,7,51
C-329073,7056,AL,34.0191,-87.8219,2/25/2009,Developed,Low Intensity Residential,0-20,<1,0.97,2.1,106,0.2,0.06,0.42,N.D.,0.42,0.02,<0.1,32.4,1.5,7,<5,3.1,0.53,2.09,0.02,<0.02,0.29,13.7,4,0.04,60,0.25,0.03,0.5,3.6,90,7.2,15.5,<0.01,0.06,1.2,<0.2,0.2,15.4,<0.1,3.9,0.03,0.2,0.8,13,<0.1,3.8,12
C-328974,7264,AL,31.8158,-88.3121,2/20/2009,Developed,Low Intensity Residential,0-50,<1,0.73,1.9,80,0.2,0.1,0.18,N.D.,0.18,<0.01,<0.1,106,2.4,10,<5,2.9,0.7,2.44,0.02,<0.02,0.21,38.9,4,0.03,104,0.08,0.02,0.4,3.8,80,11.5,11.5,<0.01,<0.05,1.7,<0.2,0.4,10.4,<0.1,13.9,0.34,0.1,2.7,10,<0.1,8.4,16
C-328919,7568,AL,33.2574,-87.9498,2/21/2009,Planted/Cultivated,Fallow,0-30,<1,3.54,5.1,302,0.8,0.15,1.26,N.D.,1.26,0.02,<0.1,79.8,4.7,27,<5,8.2,1.42,8.33,0.03,0.04,0.9,33.2,16,0.12,202,0.6,0.1,11.6,8.2,250,20.2,55.9,0.01,0.5,5.7,0.3,1.6,34.7,<0.1,10.9,0.44,0.4,3.2,44,0.6,14.6,36
C-328985,7632,AL,34.0777,-85.9159,2/24/2009,Forested Upland,Evergreen Forest,0-15,<1,2.55,8.4,131,0.6,0.2,0.92,N.D.,0.92,0.05,<0.1,41.2,6.6,48,<5,7.8,2.23,5.76,0.05,0.03,0.33,16,22,0.12,372,0.96,0.03,9.5,9.8,280,21,28,0.01,0.58,3.9,0.5,0.9,21,<0.1,8.8,0.28,0.4,2.8,47,0.8,7.7,34
C-328933,7712,AL,30.9918,-88.2476,2/17/2009,Developed,Low Intensity Residential,0-15,<1,1.42,1.3,50,0.2,0.09,0.93,N.D.,0.93,0.02,<0.1,22.7,0.6,12,<5,3.3,0.46,3.23,0.01,<0.02,0.09,12,6,0.04,31,0.35,<0.01,6.7,3.2,100,7.4,8.3,<0.01,0.39,2.1,<0.2,0.8,9.6,<0.1,5.1,0.23,<0.1,1.3,23,0.4,4.2,7
C-328986,7888,AL,33.2072,-86.0474,2/23/2009,Forested Upland,Evergreen Forest,0-20,<1,1.84,2.8,96,0.3,0.19,1.05,N.D.,1.05,0.03,<0.1,34.6,1.5,18,<5,6.5,0.89,4.63,0.04,<0.02,0.19,13.4,12,0.07,61,0.71,0.02,10.2,5.2,100,8.8,18.8,<0.01,0.38,2.6,0.3,0.8,14.6,<0.1,6.3,0.27,0.3,1.8,27,0.9,5.9,17
C-328924,7916,AL,34.6962,-86.121,2/25/2009,Planted/Cultivated,Pasture/Hay,0-30,<1,3.07,6.2,219,1.2,0.2,1.41,N.D.,1.41,0.13,0.5,72.2,12.8,48,<5,12.6,1.96,6.73,0.05,0.03,0.55,32.7,30,0.19,1860,1.1,0.05,8.3,18.3,1200,33.6,49.6,0.02,0.78,5.6,0.3,1.7,33.8,<0.1,8.4,0.31,0.5,3.2,49,0.9,20.4,101
C-329030,7968,AL,32.0475,-86.7708,2/20/2009,Developed,Low Intensity Residential,0-20,<1,6.7,7.9,297,1.4,0.17,4.78,3.7,1.1,12.2,0.2,58,7.8,68,<5,14.4,3.48,13.8,0.02,0.05,1.29,25.3,104,0.52,169,1.7,0.1,10.3,23.8,940,19.1,54.7,0.03,0.31,10.8,0.4,1.9,242,<0.1,11.7,0.36,0.4,3,68,0.6,10.3,91
C-329081,8080,AL,33.7451,-86.4163,2/24/2009,Planted/Cultivated,Pasture/Hay,0-15,<1,1.64,5.6,90,0.4,0.12,0.75,0.1,0.7,0.05,<0.1,34,4.4,37,<5,6.1,1.37,3.7,0.02,<0.02,0.2,14.2,13,0.07,334,0.98,0.02,5.7,7.4,240,12.9,16,0.01,0.44,2.6,0.6,0.6,13.9,<0.1,5,0.18,0.3,1.8,32,0.5,8.1,29
C-329041,8400,AL,34.1757,-86.8882,2/26/2009,Planted/Cultivated,Pasture/Hay,0-15,<1,3.16,7,276,0.9,0.21,3.7,N.D.,3.7,0.19,0.1,41.3,5.2,37,<5,9.6,1.95,7.73,0.05,0.03,0.61,21.2,19,0.15,629,0.7,0.05,8,10.1,470,21.1,47.3,0.03,0.5,5.1,0.4,1.2,36.6,<0.1,7.1,0.25,0.4,2.1,41,0.8,8,42
C-329084,8480,AL,31.1129,-85.2917,2/19/2009,Developed,Low Intensity Residential,0-20,<1,2.55,2.1,26,0.2,0.14,0.78,N.D.,0.78,0.05,<0.1,28.3,0.9,19,<5,5.4,1.15,5.64,0.02,0.02,0.06,13,4,0.03,74,0.6,<0.01,6,4.2,270,8.2,4.3,<0.01,0.22,3.4,0.3,0.8,4.5,<0.1,8.1,0.24,<0.1,1.3,31,0.5,3.6,12
C-328902,8848,AL,33.34,-87.1178,2/22/2009,Forested Upland,Evergreen Forest,0-20,<1,1.67,3.6,135,0.5,0.08,1.33,N.D.,1.33,0.01,<0.1,24,3.2,18,<5,4.3,0.94,3.73,0.02,<0.02,0.36,12.5,11,0.07,135,0.45,0.02,4.3,5.1,100,9.3,28.4,<0.01,0.48,2.8,0.3,0.8,16.2,<0.1,3.9,0.17,0.3,1.4,24,0.3,4.6,17
C-328940,8912,AL,32.565,-86.2313,2/23/2009,Planted/Cultivated,Fallow,0-20,<1,3.21,2.9,182,0.8,0.14,0.56,N.D.,0.56,0.02,<0.1,65.6,5.9,26,<5,10,1.94,7.41,0.03,0.03,0.55,31.7,18,0.12,366,0.67,0.03,8.9,12.1,260,36.2,46.8,<0.01,0.33,5.5,0.3,1.2,20.4,<0.1,11.3,0.42,0.4,2.9,44,0.4,11,44
C-329031,9104,AL,34.6482,-87.9884,2/25/2009,Forested Upland,Deciduous Forest,0-30,<1,1.99,2.4,260,0.6,0.15,1.76,N.D.,1.76,0.09,<0.1,57.5,15.7,23,<5,6.5,0.82,4.55,0.05,<0.02,0.68,22.4,13,0.09,243,0.62,0.13,10.5,6.5,130,16.7,33.7,0.01,0.4,2.8,0.3,0.8,33.4,<0.1,8.6,0.34,0.4,2.2,24,0.7,8.8,22
C-329045,9196,AL,34.9865,-86.6495,2/25/2009,Developed,Low Intensity Residential,0-30,<1,2.39,7.4,152,0.6,0.24,0.63,N.D.,0.63,0.16,<0.1,50.2,3.9,39,<5,9.4,2.47,4.99,0.03,0.02,0.37,21.7,18,0.1,196,1.4,0.05,9.8,7.7,200,17.3,23,0.01,0.67,4.1,0.6,1,22,<0.1,9,0.38,0.3,2.9,57,0.7,8.5,21
C-329042,9312,AL,31.2839,-87.7323,2/18/2009,Developed,Low Intensity Residential,0-20,<1,1.56,1.9,119,0.5,0.16,1.29,N.D.,1.29,0.02,<0.1,63.8,4.7,21,<5,6,0.85,3.98,0.04,<0.02,0.15,26.3,10,0.05,951,0.63,0.02,8.3,4.5,120,16.7,14.2,0.01,0.32,3,0.4,0.8,12,<0.1,9.2,0.37,0.3,2.1,26,0.5,11.4,20
