Foodstatus,Schooling_year,Age,Household_size,Rainfed_area,Irrigated_area,Remittance,No_livestock,Infrastructure_Index,Region,Sex,Caste,Livelihood,School_Class,Household_Class,Remitance_Class,Foodstatus_ID,Sex_ID,Region_ID,Livelihood_ID
1,0,70,3,3.612,0,0,1.525,0.925,1,0,1,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
1,0,70,2,0.339,0,0.335,0,0.926,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,40,2,0,0.601,0,0,0.926,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,40,2,0,0.601,0,0,0.926,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,40,2,0,0.601,0,0,0.926,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,40,2,0,0.601,0,0,0.926,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,81,2,0,0,0,0,0.927,1,0,1,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
1,0,23,2,0.312,0,0.623,1.146,0.928,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,65,3,0.242,0,49.872,0.894,0.928,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,26,2,0,0,0,0,0.929,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,12,44,3,0,0,0,0.11,0.929,1,0,0,1,1,0,0,Food adquate,Male,central,Agriculture Household
0,0,64,2,0,0,0,0.66,0.929,1,0,0,0,0,0,0,Food adquate,Male,central,Non Agriculture Household
0,0,64,2,0,0,0,0.66,0.929,1,0,0,0,0,0,0,Food adquate,Male,central,Non Agriculture Household
0,10,47,3,0,0,0,4.37,0.929,1,0,0,0,0,0,0,Food adquate,Male,central,Non Agriculture Household
1,0,45,2,1.087,0,0,1.14,0.929,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,45,2,1.08,0,0,1.142,0.929,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,69,3,0.153,0.509,0,1.4,0.929,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,69,3,0.153,0.509,0,1.4,0.929,1,0,1,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,5,62,3,0,0,21.25,2.84,0.929,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,57,1,0.223,0.092,0,3.81,0.929,1,1,1,1,0,0,0,Food adquate,Female,central,Agriculture Household
1,0,45,3,0.788,0,17.255,0.91,0.93,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,78,2,0,0.622,0,0.99,0.93,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,59,3,0.788,0,34,0.73,0.931,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,34,3,0.254,0,3.825,0.74,0.931,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,4,21,2,0,0,119,0.82,0.931,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
1,0,77,2,0.381,0.49,0,1.037,0.931,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,4,30,2,6.673,0.2,0,0.73,0.931,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,24,3,0,3.141,0.539,0.982,0.932,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,47,1,0.61,0,0,1.4,0.932,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,45,3,0,0,212.5,0.7,0.932,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
0,0,22,3,4.071,0,0,1.59,0.933,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,22,3,4.071,0,0,1.59,0.933,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,22,3,4.071,0,0,1.59,0.933,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,4,29,2,6.157,0.461,0,0.782,0.933,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,65,1,0,0,0,1.44,0.933,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,63,1,0.087,0.303,45.69,0.694,0.934,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,26,3,0.007,0,0,3.717,0.936,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,73,2,0,0.667,17,1.4,0.936,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,27,3,0.133,0,204,0.39,0.936,1,1,1,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,27,3,0.133,0,204,0.39,0.936,1,1,1,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,27,3,0.133,0,204,0.39,0.936,1,1,1,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,46,1,0.007,0.011,5.1,1.4,0.936,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,46,1,0.007,0.011,5.1,1.4,0.936,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,2,59,2,0,0,0,2.1,0.937,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,52,3,0,0,0,0,0.937,1,0,0,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
0,0,52,3,0,0,0,2.45,0.937,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,26,2,0,0,0,0.003,0.937,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,48,3,0,0,97.426,0.375,0.937,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,23,3,0.039,0,61.416,0.395,0.938,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,75,1,0.012,0,0,0,0.938,1,1,1,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,25,3,0,0,17,2.21,0.938,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,28,3,0,0,0,0.4,0.938,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,24,2,0.61,0,0,2.24,0.939,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,78,1,0.051,0,0,0,0.939,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,77,1,0.008,0.171,0,0,0.939,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,59,2,0.004,0.027,0,2.221,0.939,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,37,3,0.684,0,42.433,0.062,0.939,1,1,1,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
0,0,60,3,0.486,0.343,25.5,5.5,0.939,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
0,0,60,3,0.486,0.343,25.5,5.5,0.939,1,0,0,1,0,0,0,Food adquate,Male,central,Agriculture Household
1,0,86,2,0.013,0,4.25,3.21,0.94,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,85,1,0.076,0,0,0,0.941,1,1,1,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,85,1,0.076,0,0,0,0.941,1,1,1,1,0,0,0,Food adquate,Female,central,Agriculture Household
1,0,61,1,0,0.267,0,0,0.941,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,10,26,3,0.016,0.002,12.75,1.57,0.941,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,63,2,0.409,0.059,0,0.38,0.942,1,0,0,0,0,0,0,Food inadquate,Male,central,Non Agriculture Household
1,0,39,3,0.014,0.013,17,0,0.942,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,76,1,0.011,0,0,0,0.942,1,1,1,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,50,3,0,0,0,0.1,0.942,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,43,3,0,0,8.5,0.3,0.942,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
0,0,66,1,0.013,0,22.1,1.01,0.942,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
0,0,66,1,0.013,0,22.1,1.01,0.942,1,1,0,1,0,0,0,Food adquate,Female,central,Agriculture Household
1,0,66,3,0,0,74.8,0.54,0.942,1,1,0,0,0,0,0,Food inadquate,Female,central,Non Agriculture Household
1,0,39,3,0.014,0.013,17.051,0,0.942,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,77,1,0,0.203,0,0,0.942,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,25,3,0,4.972,1.457,1.744,0.943,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,25,3,0,5.438,0,1.7,0.943,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,45,3,0.675,0,13.591,1.169,0.944,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,76,2,0.757,0.14,0,1.254,0.944,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,47,2,0.495,0,0,1.114,0.944,1,1,1,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,50,3,0,0,0,0.1,0.944,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,52,3,0.343,0,0,1.52,0.944,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,42,3,0,0.267,0,0,0.944,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,57,2,0.002,0.008,0,2.2,0.944,1,1,0,1,0,0,0,Food inadquate,Female,central,Agriculture Household
1,0,68,1,0.261,0.029,3.939,0.246,0.944,1,0,1,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,25,3,0,0,0,0.006,0.944,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
1,0,55,3,1.017,0,0,2.88,0.945,1,0,0,1,0,0,0,Food inadquate,Male,central,Agriculture Household
